id,bairro,especie,tipo_area,condicao,altura_m,dap_cm,area_copa_m2,data_inventario,necessita_poda,risco_queda,latitude,longitude,co2_absorvido_kg_ano
37,Beberibe,Mangueira (Mangifera indica),Praça,Crítica,15.6,93.0,27.17,2022-09-17,False,False,-7.930466,-34.886834,725.4
38,Arruda,Amendoeira (Terminalia catappa),Calçada,Boa,15.3,117.5,43.37,2022-10-06,False,False,-7.962022,-34.882503,898.88
39,Jordão,Ficus benjamina,Praça,Regular,18.4,149.2,69.93,2022-04-18,False,False,-8.046655,-34.990517,1372.64
40,Beberibe,Jaqueira,Canteiro,Ruim,9.6,39.8,4.98,2022-11-07,True,False,-8.07927,-34.902501,191.04
41,Imbiribeira,Sibipiruna,Calçada,Ruim,11.7,43.5,5.94,2022-06-19,False,False,-8.136553,-34.967452,254.47
42,Casa Forte,Ficus benjamina,Área de lazer,Boa,4.6,28.0,2.46,2022-08-07,False,False,-8.037199,-34.83637,64.4
43,Arruda,Mangueira (Mangifera indica),Canteiro,Boa,2.5,102.6,33.07,2022-06-13,False,False,-7.997534,-35.003025,128.25
44,Beberibe,Flamboyant,Canteiro,Ruim,3.9,42.2,5.59,2022-04-20,False,False,-8.151467,-34.946086,82.29
45,Bomba do Hemetério,Flamboyant,Calçada,Regular,4.6,96.9,29.5,2022-05-21,True,False,-8.050584,-34.848868,222.87
46,Boa Viagem,Castanhola,Parque,Boa,14.4,36.6,4.21,2022-03-10,True,False,-8.07072,-34.990422,263.52
47,Casa Forte,Sibipiruna,Área de lazer,Regular,13.8,132.7,55.32,2022-08-17,False,False,-8.066196,-35.014889,915.63
48,Pina,Jaqueira,Canteiro,Regular,4.6,142.9,64.15,2022-10-08,False,False,-7.965466,-34.804563,328.67
49,Arruda,Pau-brasil,Calçada,Boa,15.9,127.3,50.91,2022-03-06,True,False,-8.003832,-34.948176,1012.03
50,Apipucos,Mangueira (Mangifera indica),Calçada,Regular,10.2,144.9,65.96,2022-03-08,False,False,-8.01559,-34.869154,738.99
51,Dois Unidos,Sibipiruna,Área de lazer,Boa,4.2,22.7,1.62,2022-04-08,False,True,-8.121118,-34.881585,47.67
52,Beberibe,Ficus benjamina,Canteiro,Boa,11.4,123.6,47.99,2022-06-26,False,False,-7.981647,-35.011764,704.52
53,Água Fria,Pau-brasil,Canteiro,Boa,18.0,77.3,18.77,2022-11-03,False,False,-8.056778,-34.957167,695.7
54,Boa Viagem,Jaqueira,Parque,Boa,7.2,124.6,48.77,2022-05-02,True,False,-8.053182,-34.823054,448.56
55,Monteiro,Flamboyant,Canteiro,Boa,15.0,25.0,1.96,2022-11-22,False,False,-8.080198,-34.812351,187.5
56,Beberibe,Jaqueira,Praça,Regular,14.4,66.6,13.93,2022-06-24,True,False,-8.096919,-34.94078,479.52
57,Pina,Castanhola,Praça,Boa,18.4,32.0,3.22,2022-04-07,True,False,-8.166847,-34.834358,294.4
58,Apipucos,Amendoeira (Terminalia catappa),Área de lazer,Ruim,19.4,128.3,51.71,2022-04-09,False,False,-8.126415,-34.931517,1244.51
59,Arruda,Mangueira (Mangifera indica),Parque,Regular,8.6,25.8,2.09,2022-12-22,False,True,-8.155977,-34.847427,110.94
60,Bomba do Hemetério,Mangueira (Mangifera indica),Canteiro,Boa,12.1,49.1,7.57,2022-10-09,False,False,-7.93374,-34.835991,297.06
61,Casa Forte,Sibipiruna,Canteiro,Crítica,4.2,38.4,4.63,2022-08-21,False,False,-7.937369,-34.862792,80.64
62,Monteiro,Mangueira (Mangifera indica),Área de lazer,Boa,14.0,67.4,14.27,2022-03-23,True,True,-8.060956,-34.836798,471.8
63,Espinheiro,Mangueira (Mangifera indica),Área de lazer,Regular,13.5,12.0,0.45,2022-11-15,False,False,-7.985945,-34.791767,81.0
64,Casa Forte,Cajueiro,Parque,Regular,7.0,85.3,22.86,2022-06-23,True,False,-8.04282,-34.86366,298.55
65,Graças,Oiti (Licania tomentosa),Parque,Ruim,5.7,96.4,29.19,2022-03-01,False,True,-7.980612,-34.853606,274.74
66,Casa Forte,Mangueira (Mangifera indica),Parque,Regular,2.8,78.2,19.21,2022-09-08,False,False,-8.020805,-34.97946,109.48
67,Arruda,Flamboyant,Canteiro,Boa,3.8,115.3,41.76,2022-04-24,False,False,-7.964826,-34.840945,219.07
68,Boa Viagem,Sibipiruna,Parque,Ruim,6.4,110.8,38.57,2022-04-03,False,False,-8.058616,-34.849196,354.56
69,Dois Unidos,Pau-brasil,Canteiro,Crítica,5.3,140.4,61.93,2022-07-16,True,False,-8.053235,-34.801788,372.06
70,Espinheiro,Pau-brasil,Calçada,Regular,11.9,29.2,2.68,2022-01-10,False,False,-8.169543,-34.806945,173.74
71,Imbiribeira,Oiti (Licania tomentosa),Área de lazer,Boa,19.8,131.4,54.24,2022-10-28,False,False,-7.990058,-34.975251,1300.86
72,Apipucos,Flamboyant,Calçada,Crítica,15.7,48.3,7.33,2022-03-06,False,False,-8.036012,-34.835421,379.15
73,Boa Viagem,Castanhola,Área de lazer,Boa,15.4,61.9,12.04,2022-02-21,True,False,-8.088032,-34.950098,476.63
74,Imbiribeira,Flamboyant,Praça,Regular,13.8,126.3,50.11,2022-06-11,False,False,-8.04176,-34.839395,871.47
75,Monteiro,Sibipiruna,Praça,Crítica,18.7,96.8,29.44,2022-09-06,True,False,-8.106312,-34.839931,905.08
76,Apipucos,Castanhola,Parque,Boa,11.6,66.4,13.85,2022-10-21,False,False,-7.966555,-34.884842,385.12
77,Graças,Ficus benjamina,Área de lazer,Ruim,19.9,14.1,0.62,2022-09-26,False,False,-8.066749,-34.919273,140.29
78,Monteiro,Pau-brasil,Praça,Boa,14.1,104.1,34.04,2022-01-23,True,False,-8.122737,-34.859029,733.9
79,Beberibe,Cajueiro,Canteiro,Boa,18.8,148.9,69.65,2022-12-08,True,False,-8.080217,-34.938152,1399.66
80,Beberibe,Mangueira (Mangifera indica),Praça,Ruim,3.0,67.0,14.1,2022-02-11,False,False,-8.12893,-34.880502,100.5
81,Arruda,Pau-brasil,Calçada,Boa,11.5,50.7,8.08,2022-01-28,False,False,-8.0336,-34.976269,291.53
82,Monteiro,Jaqueira,Calçada,Crítica,8.8,144.3,65.42,2022-03-06,False,False,-8.019789,-34.980619,634.92
83,Espinheiro,Sibipiruna,Área de lazer,Ruim,8.9,121.3,46.22,2022-02-04,False,True,-7.938114,-34.827859,539.78
84,Dois Unidos,Jaqueira,Parque,Boa,9.2,53.9,9.13,2022-12-13,True,False,-7.950652,-34.881791,247.94
85,Espinheiro,Amendoeira (Terminalia catappa),Calçada,Regular,11.3,26.3,2.17,2022-07-21,False,False,-8.102119,-34.871687,148.6
86,Arruda,Ficus benjamina,Área de lazer,Boa,6.4,13.3,0.56,2022-08-09,True,False,-8.067593,-34.832576,42.56
87,Pina,Amendoeira (Terminalia catappa),Praça,Boa,16.0,139.0,60.7,2022-05-25,False,False,-8.163726,-34.868653,1112.0
88,Espinheiro,Jaqueira,Canteiro,Boa,3.3,147.3,68.16,2022-07-11,False,False,-8.151847,-34.816154,243.05
89,Espinheiro,Sibipiruna,Parque,Regular,15.5,30.7,2.96,2022-09-18,False,False,-8.052191,-34.803152,237.92
90,Água Fria,Pau-brasil,Canteiro,Crítica,4.6,114.1,40.9,2022-12-16,True,False,-8.115183,-34.823736,262.43
91,Apipucos,Ficus benjamina,Parque,Regular,13.7,7.7,0.19,2022-10-23,False,False,-7.947453,-34.952498,52.74
92,Monteiro,Ficus benjamina,Praça,Crítica,12.5,18.5,1.08,2022-07-14,True,False,-8.05534,-34.863042,115.62
93,Graças,Ficus benjamina,Canteiro,Regular,11.7,8.7,0.24,2022-10-13,True,False,-7.999595,-34.801577,50.89
94,Beberibe,Ficus benjamina,Parque,Regular,6.9,89.2,25.0,2022-05-06,False,True,-8.026597,-34.979426,307.74
95,Bomba do Hemetério,Mangueira (Mangifera indica),Canteiro,Regular,6.7,10.3,0.33,2022-04-26,True,True,-8.066192,-34.866832,34.51
96,Pina,Jaqueira,Canteiro,Ruim,11.4,17.6,0.97,2022-05-03,False,False,-7.9657,-34.961491,100.32
97,Graças,Jaqueira,Canteiro,Crítica,5.9,101.5,32.37,2022-03-01,False,False,-8.107873,-34.799759,299.43
98,Casa Forte,Mangueira (Mangifera indica),Área de lazer,Boa,6.7,25.9,2.11,2022-11-21,False,False,-8.082131,-34.904084,86.77
99,Beberibe,Amendoeira (Terminalia catappa),Parque,Boa,4.6,12.4,0.48,2022-05-10,False,False,-7.961629,-34.875976,28.52
100,Bomba do Hemetério,Castanhola,Calçada,Ruim,17.7,131.6,54.41,2022-05-08,False,False,-8.031351,-34.922232,1164.66
101,Graças,Castanhola,Calçada,Regular,7.7,98.7,30.6,2022-01-19,True,False,-8.05158,-34.918307,380.0
102,Ibura,Cajueiro,Canteiro,Regular,4.8,127.8,51.31,2022-04-05,False,False,-8.03946,-34.938049,306.72
103,Ibura,Cajueiro,Parque,Boa,12.1,22.3,1.56,2022-02-10,False,False,-8.096758,-34.822547,134.91
104,Imbiribeira,Amendoeira (Terminalia catappa),Canteiro,Boa,7.9,32.0,3.22,2022-12-28,False,False,-8.053778,-34.82501,126.4
105,Bomba do Hemetério,Sibipiruna,Área de lazer,Regular,19.6,79.3,19.76,2022-10-03,False,True,-7.957684,-34.82622,777.14
106,Ibura,Jaqueira,Canteiro,Crítica,17.5,116.2,42.42,2022-02-07,False,False,-7.973585,-34.895016,1016.75
107,Beberibe,Castanhola,Parque,Regular,8.7,119.6,44.94,2022-01-06,False,True,-8.097312,-34.992473,520.26
108,Dois Unidos,Oiti (Licania tomentosa),Calçada,Boa,5.0,115.7,42.05,2022-12-22,False,True,-8.022553,-34.924622,289.25
109,Casa Forte,Pau-brasil,Calçada,Ruim,3.4,95.2,28.47,2022-11-16,False,True,-8.054135,-34.916679,161.84
110,Beberibe,Ficus benjamina,Calçada,Regular,4.5,90.6,25.79,2022-11-24,True,False,-8.095484,-34.870341,203.85
111,Água Fria,Castanhola,Calçada,Boa,19.8,95.9,28.89,2022-07-12,False,True,-8.028036,-34.836014,949.41
112,Beberibe,Ficus benjamina,Canteiro,Boa,9.6,83.2,21.75,2022-01-05,True,False,-8.004477,-34.816797,399.36
113,Ibura,Amendoeira (Terminalia catappa),Canteiro,Regular,14.9,47.1,6.97,2022-09-03,False,True,-8.115822,-34.95677,350.9
114,Arruda,Amendoeira (Terminalia catappa),Calçada,Ruim,3.7,66.6,13.93,2022-03-11,False,False,-7.962151,-34.846657,123.21
115,Boa Viagem,Oiti (Licania tomentosa),Canteiro,Boa,16.6,100.6,31.79,2022-03-12,True,True,-8.125706,-34.909933,834.98
116,Ibura,Oiti (Licania tomentosa),Parque,Boa,16.5,97.8,30.05,2022-10-06,True,False,-8.08339,-34.915708,806.85
117,Monteiro,Oiti (Licania tomentosa),Praça,Boa,8.7,46.3,6.73,2022-10-17,False,False,-8.053814,-35.004989,201.4
118,Água Fria,Mangueira (Mangifera indica),Canteiro,Regular,9.8,49.6,7.73,2022-01-21,False,False,-8.105546,-34.926455,243.04
119,Graças,Sibipiruna,Calçada,Crítica,9.9,60.8,11.61,2022-08-15,False,False,-7.9489,-34.79095,300.96
120,Espinheiro,Flamboyant,Praça,Boa,7.4,121.7,46.53,2022-11-23,True,False,-8.016202,-34.871543,450.29
121,Água Fria,Oiti (Licania tomentosa),Área de lazer,Ruim,18.4,141.8,63.17,2022-09-17,False,False,-8.140048,-34.968364,1304.56
122,Imbiribeira,Ficus benjamina,Parque,Regular,12.9,119.1,44.56,2022-11-28,False,False,-7.93517,-34.988393,768.19
123,Apipucos,Castanhola,Área de lazer,Ruim,16.9,9.1,0.26,2022-04-15,False,False,-7.950789,-34.98646,76.89
124,Monteiro,Amendoeira (Terminalia catappa),Praça,Regular,4.7,40.8,5.23,2022-09-16,False,False,-8.140633,-34.961197,95.88
125,Espinheiro,Amendoeira (Terminalia catappa),Praça,Boa,3.5,87.5,24.05,2022-04-17,False,False,-8.009874,-34.902129,153.12
126,Casa Forte,Cajueiro,Calçada,Regular,2.7,22.4,1.58,2022-03-01,False,False,-8.100523,-34.955271,30.24
127,Arruda,Mangueira (Mangifera indica),Praça,Ruim,11.8,53.0,8.82,2022-09-09,True,False,-8.044569,-34.930585,312.7
128,Arruda,Cajueiro,Canteiro,Boa,14.4,92.4,26.82,2022-10-17,True,False,-8.092313,-34.800839,665.28
129,Pina,Sibipiruna,Calçada,Boa,14.7,70.7,15.7,2022-01-01,True,False,-8.162041,-34.848062,519.64
130,Monteiro,Cajueiro,Canteiro,Boa,12.6,71.1,15.88,2022-07-22,False,False,-7.960232,-34.871406,447.93
131,Jordão,Oiti (Licania tomentosa),Área de lazer,Boa,11.6,87.2,23.89,2022-06-08,True,True,-7.998948,-34.918884,505.76
132,Bomba do Hemetério,Sibipiruna,Parque,Regular,9.1,112.5,39.76,2022-07-26,False,True,-8.038986,-34.911118,511.88
133,Ibura,Mangueira (Mangifera indica),Calçada,Boa,6.2,95.5,28.65,2022-08-15,True,False,-8.158577,-34.912537,296.05
134,Espinheiro,Sibipiruna,Área de lazer,Regular,5.1,44.6,6.25,2022-02-24,False,False,-8.011816,-34.893569,113.73
135,Casa Forte,Pau-brasil,Canteiro,Boa,18.6,38.3,4.61,2022-12-20,False,False,-8.007698,-34.863758,356.19
136,Boa Viagem,Amendoeira (Terminalia catappa),Parque,Regular,12.3,93.2,27.29,2022-06-21,False,False,-7.961968,-34.80594,573.18
137,Boa Viagem,Castanhola,Calçada,Ruim,5.7,114.4,41.12,2022-05-06,False,False,-8.03929,-34.998604,326.04
138,Arruda,Sibipiruna,Parque,Regular,9.0,86.1,23.29,2022-06-20,False,False,-8.126514,-34.9753,387.45
139,Pina,Mangueira (Mangifera indica),Calçada,Crítica,15.3,60.0,11.31,2022-08-12,False,False,-7.972414,-34.920469,459.0
140,Monteiro,Castanhola,Parque,Boa,16.2,71.7,16.15,2022-07-27,True,False,-7.983395,-34.96189,580.77
141,Casa Forte,Ficus benjamina,Praça,Regular,16.9,121.8,46.61,2022-06-03,True,False,-8.002348,-34.813854,1029.21
142,Arruda,Mangueira (Mangifera indica),Área de lazer,Boa,10.4,16.0,0.8,2022-07-06,False,True,-8.136861,-34.86507,83.2
143,Casa Forte,Mangueira (Mangifera indica),Área de lazer,Crítica,10.1,115.4,41.84,2022-05-03,False,False,-8.115718,-34.85206,582.77
144,Bomba do Hemetério,Cajueiro,Área de lazer,Ruim,4.8,147.2,68.07,2022-10-25,True,False,-7.931258,-34.823519,353.28
145,Casa Forte,Oiti (Licania tomentosa),Área de lazer,Ruim,2.4,144.6,65.69,2022-01-14,True,False,-7.95944,-34.917893,173.52
146,Imbiribeira,Mangueira (Mangifera indica),Área de lazer,Regular,4.8,116.0,42.27,2022-03-25,False,False,-7.950968,-34.944501,278.4
147,Beberibe,Pau-brasil,Canteiro,Regular,4.2,125.0,49.09,2022-07-22,False,False,-7.972656,-34.966599,262.5
148,Graças,Ficus benjamina,Área de lazer,Ruim,13.0,17.9,1.01,2022-12-09,False,False,-8.149465,-34.836077,116.35
149,Boa Viagem,Mangueira (Mangifera indica),Praça,Crítica,17.4,23.2,1.69,2022-06-04,False,False,-8.017168,-34.824569,201.84
150,Casa Forte,Oiti (Licania tomentosa),Parque,Regular,12.9,12.4,0.48,2022-06-22,False,False,-8.068248,-34.811734,79.98
151,Apipucos,Flamboyant,Área de lazer,Boa,6.5,113.0,40.11,2022-12-25,True,False,-7.997756,-34.781024,367.25
152,Água Fria,Sibipiruna,Canteiro,Crítica,9.5,31.1,3.04,2022-06-22,True,False,-8.106872,-34.930364,147.72
153,Graças,Amendoeira (Terminalia catappa),Área de lazer,Crítica,13.2,86.6,23.56,2022-06-12,False,False,-7.95116,-34.817274,571.56
154,Graças,Sibipiruna,Área de lazer,Regular,10.1,66.2,13.77,2022-10-07,True,False,-7.981109,-34.806543,334.31
155,Água Fria,Sibipiruna,Praça,Boa,6.0,99.4,31.04,2022-12-24,True,False,-8.019869,-35.013522,298.2
156,Graças,Mangueira (Mangifera indica),Praça,Boa,16.1,34.5,3.74,2022-07-08,False,False,-7.95893,-34.823032,277.73
157,Boa Viagem,Cajueiro,Parque,Boa,3.8,85.4,22.91,2022-10-07,True,False,-7.988374,-34.984163,162.26
158,Espinheiro,Pau-brasil,Área de lazer,Crítica,18.4,69.6,15.22,2022-03-15,False,False,-8.152725,-34.80485,640.32
159,Ibura,Flamboyant,Praça,Regular,12.2,9.4,0.28,2022-10-09,True,False,-7.994554,-34.972669,57.34
160,Jordão,Castanhola,Calçada,Boa,17.5,105.7,35.1,2022-10-25,True,False,-8.169221,-34.900642,924.88
161,Espinheiro,Jaqueira,Área de lazer,Regular,18.5,88.1,24.38,2022-07-06,True,False,-7.999567,-34.858527,814.92
162,Espinheiro,Jaqueira,Área de lazer,Boa,4.4,84.6,22.48,2022-12-26,False,False,-7.97897,-34.899865,186.12
163,Monteiro,Sibipiruna,Parque,Boa,5.0,11.7,0.43,2022-06-16,False,False,-7.980558,-34.929647,29.25
164,Arruda,Flamboyant,Calçada,Regular,12.6,104.9,34.57,2022-11-17,False,False,-8.000379,-34.97941,660.87
165,Apipucos,Flamboyant,Área de lazer,Boa,12.3,126.3,50.11,2022-08-11,True,False,-7.931188,-34.789345,776.75
166,Pina,Flamboyant,Praça,Boa,10.7,49.9,7.82,2022-12-10,False,True,-8.126142,-34.8907,266.96
167,Casa Forte,Oiti (Licania tomentosa),Canteiro,Regular,7.5,25.7,2.07,2022-05-20,True,False,-7.932802,-34.839238,96.38
168,Ibura,Flamboyant,Praça,Crítica,18.8,143.8,64.96,2022-09-07,True,False,-8.126721,-34.946624,1351.72
169,Apipucos,Mangueira (Mangifera indica),Área de lazer,Boa,17.7,63.6,12.71,2022-04-18,True,False,-8.068063,-34.97673,562.86
170,Espinheiro,Castanhola,Área de lazer,Boa,4.1,58.3,10.68,2022-03-25,False,False,-8.164631,-34.925723,119.51
171,Casa Forte,Amendoeira (Terminalia catappa),Área de lazer,Boa,3.1,51.6,8.36,2022-08-20,False,True,-8.061766,-34.932158,79.98
172,Imbiribeira,Oiti (Licania tomentosa),Canteiro,Crítica,4.7,53.9,9.13,2022-02-13,False,False,-7.991888,-34.993306,126.67
173,Ibura,Jaqueira,Calçada,Regular,5.6,103.6,33.72,2022-05-19,False,True,-8.098401,-34.792549,290.08
174,Boa Viagem,Amendoeira (Terminalia catappa),Calçada,Ruim,15.7,56.2,9.92,2022-02-09,True,True,-8.099995,-34.969334,441.17
175,Ibura,Ficus benjamina,Área de lazer,Ruim,2.9,83.8,22.06,2022-10-08,True,False,-7.977432,-34.954606,121.51
176,Boa Viagem,Sibipiruna,Praça,Boa,19.3,10.4,0.34,2022-06-10,True,False,-8.082947,-34.954249,100.36
177,Espinheiro,Flamboyant,Canteiro,Boa,5.0,113.1,40.19,2022-08-24,True,True,-8.106244,-34.790818,282.75
178,Jordão,Oiti (Licania tomentosa),Canteiro,Boa,9.8,102.0,32.69,2022-06-09,False,False,-7.935983,-34.825797,499.8
179,Bomba do Hemetério,Ficus benjamina,Área de lazer,Boa,4.5,67.3,14.23,2022-11-07,False,False,-8.054125,-35.009358,151.42
180,Arruda,Sibipiruna,Parque,Boa,14.5,38.8,4.73,2022-06-13,True,False,-7.957768,-34.780896,281.3
181,Jordão,Mangueira (Mangifera indica),Área de lazer,Boa,12.1,43.3,5.89,2022-02-19,True,True,-8.055747,-34.997876,261.96
182,Casa Forte,Cajueiro,Calçada,Regular,5.5,105.4,34.9,2022-11-19,False,False,-8.014984,-34.982264,289.85
183,Monteiro,Cajueiro,Calçada,Regular,3.4,127.6,51.15,2022-08-20,True,False,-8.058128,-34.993257,216.92
184,Monteiro,Sibipiruna,Parque,Boa,16.7,75.2,17.77,2022-04-03,False,False,-8.052576,-34.889333,627.92
185,Monteiro,Cajueiro,Praça,Ruim,13.2,7.3,0.17,2022-06-03,False,False,-8.027661,-34.917611,48.18
186,Ibura,Jaqueira,Canteiro,Ruim,11.4,27.3,2.34,2022-01-06,False,False,-8.134208,-34.958444,155.61
187,Dois Unidos,Jaqueira,Área de lazer,Crítica,19.4,44.4,6.19,2022-02-18,False,False,-8.133684,-35.000502,430.68
188,Espinheiro,Castanhola,Área de lazer,Boa,2.6,72.3,16.42,2022-10-17,True,False,-8.020206,-35.001842,93.99
189,Bomba do Hemetério,Ficus benjamina,Parque,Regular,18.6,104.3,34.18,2022-09-15,False,False,-8.079804,-34.909062,969.99
190,Ibura,Amendoeira (Terminalia catappa),Calçada,Ruim,11.7,57.9,10.53,2022-08-08,False,False,-8.145698,-34.964423,338.71
191,Água Fria,Oiti (Licania tomentosa),Parque,Ruim,4.5,123.0,47.53,2022-05-13,False,False,-8.124959,-34.849241,276.75
192,Água Fria,Jaqueira,Praça,Boa,16.9,39.2,4.83,2022-08-06,True,False,-8.12136,-34.998091,331.24
193,Dois Unidos,Jaqueira,Área de lazer,Regular,17.2,123.3,47.76,2022-09-24,True,False,-8.117971,-34.862106,1060.38
194,Boa Viagem,Oiti (Licania tomentosa),Calçada,Regular,13.3,144.6,65.69,2022-09-08,False,False,-8.074138,-34.839812,961.59
195,Água Fria,Oiti (Licania tomentosa),Canteiro,Boa,10.2,83.0,21.64,2022-05-01,False,False,-8.081721,-34.888674,423.3
196,Monteiro,Jaqueira,Parque,Ruim,10.2,47.0,6.94,2022-02-09,False,False,-8.05266,-34.788181,239.7
197,Boa Viagem,Amendoeira (Terminalia catappa),Calçada,Regular,8.0,136.4,58.45,2022-02-05,True,False,-7.944439,-34.892693,545.6
198,Imbiribeira,Mangueira (Mangifera indica),Área de lazer,Regular,18.4,126.5,50.27,2022-03-08,False,False,-7.990997,-34.964902,1163.8
199,Jordão,Castanhola,Canteiro,Regular,7.9,144.9,65.96,2022-09-09,False,False,-8.148739,-34.82736,572.36
200,Beberibe,Pau-brasil,Área de lazer,Boa,19.4,22.9,1.65,2022-06-07,True,False,-8.040589,-34.873437,222.13
201,Monteiro,Pau-brasil,Canteiro,Regular,19.5,93.9,27.7,2022-11-26,False,True,-7.978831,-35.010966,915.53
202,Água Fria,Oiti (Licania tomentosa),Área de lazer,Crítica,8.3,51.0,8.17,2022-04-22,False,False,-8.011401,-34.849167,211.65
203,Graças,Mangueira (Mangifera indica),Praça,Regular,14.8,133.9,56.33,2022-02-22,False,False,-7.987008,-34.816156,990.86
204,Casa Forte,Oiti (Licania tomentosa),Praça,Boa,17.9,44.4,6.19,2022-04-19,True,False,-7.96182,-34.984639,397.38
205,Água Fria,Pau-brasil,Canteiro,Boa,3.3,131.0,53.91,2022-08-08,False,False,-8.087174,-34.949225,216.15
206,Ibura,Flamboyant,Parque,Crítica,9.8,59.3,11.05,2022-11-02,True,False,-7.949968,-34.84968,290.57
207,Graças,Flamboyant,Calçada,Regular,18.5,119.9,45.16,2022-11-02,False,False,-7.977214,-34.883062,1109.08
