id,tipo_ocorrencia,bairro,nivel_risco_bairro,mes,ano,turno,vitimas,prisoes_efetuadas,latitude,longitude
48,Roubo a pedestre,Ibura,alto,3,2022,Madrugada (00h-6h),1,0,-8.093686,-34.929936
49,Furto,Casa Amarela,médio,2,2022,Manhã (6h-12h),0,0,-8.108579,-34.794061
50,Furto,Casa Forte,baixo,2,2023,Manhã (6h-12h),2,1,-8.050679,-34.885996
51,Lesão corporal,Imbiribeira,médio,11,2023,Tarde (12h-18h),1,0,-8.042519,-35.004538
52,Furto,Ibura,alto,6,2022,Tarde (12h-18h),1,0,-8.118965,-34.860363
53,Furto,Casa Amarela,médio,12,2023,Manhã (6h-12h),1,1,-8.102248,-34.836504
54,Lesão corporal,Recife Antigo,médio,8,2023,Noite (18h-00h),1,0,-8.113557,-34.85352
55,Homicídio,Recife Antigo,médio,2,2023,Tarde (12h-18h),0,0,-8.102852,-34.841752
56,Perturbação da ordem,Boa Viagem,médio,2,2022,Manhã (6h-12h),0,0,-8.071595,-34.918392
57,Roubo a veículo,Casa Forte,baixo,10,2022,Manhã (6h-12h),1,0,-8.009736,-34.781607
58,Perturbação da ordem,Ibura,alto,5,2022,Madrugada (00h-6h),2,0,-7.930404,-34.850641
59,Roubo a pedestre,Jordão,alto,3,2023,Tarde (12h-18h),0,0,-8.043667,-34.959954
60,Furto,Graças,baixo,5,2022,Manhã (6h-12h),1,0,-8.056369,-34.989177
61,Roubo a veículo,Água Fria,alto,4,2023,Madrugada (00h-6h),0,0,-8.125752,-34.952025
62,Roubo a pedestre,Dois Unidos,alto,3,2022,Noite (18h-00h),1,0,-8.036611,-34.832475
63,Furto,Madalena,baixo,12,2023,Noite (18h-00h),0,0,-8.067818,-34.994402
64,Furto,Ibura,alto,2,2022,Tarde (12h-18h),0,1,-8.000062,-34.978424
65,Tráfico de drogas,Casa Amarela,médio,4,2022,Noite (18h-00h),1,1,-8.117676,-34.922916
66,Furto,Casa Amarela,médio,11,2023,Noite (18h-00h),1,0,-8.138628,-34.851265
67,Perturbação da ordem,Graças,baixo,11,2022,Madrugada (00h-6h),2,0,-8.024833,-34.847594
68,Roubo a veículo,Beberibe,alto,9,2022,Noite (18h-00h),2,0,-8.165069,-34.874586
69,Furto,Boa Viagem,médio,7,2022,Manhã (6h-12h),1,0,-8.099706,-34.932898
70,Roubo a pedestre,Casa Amarela,médio,12,2022,Noite (18h-00h),0,0,-8.087641,-34.972321
71,Furto,Beberibe,alto,11,2022,Noite (18h-00h),1,0,-8.078928,-34.877892
72,Perturbação da ordem,Aflitos,baixo,5,2022,Madrugada (00h-6h),3,0,-8.154852,-34.856552
73,Furto,Recife Antigo,médio,7,2023,Noite (18h-00h),1,0,-7.935596,-34.781447
74,Roubo a pedestre,Água Fria,alto,3,2022,Noite (18h-00h),3,0,-7.937182,-34.861243
75,Arrombamento,Espinheiro,baixo,1,2023,Manhã (6h-12h),1,0,-8.106372,-34.915789
76,Furto,Imbiribeira,médio,6,2022,Madrugada (00h-6h),0,0,-8.050051,-34.947635
77,Roubo a pedestre,Espinheiro,baixo,1,2022,Noite (18h-00h),1,1,-8.035235,-34.989049
78,Perturbação da ordem,Casa Forte,baixo,6,2022,Manhã (6h-12h),2,1,-7.946282,-34.911751
79,Roubo a pedestre,Casa Forte,baixo,8,2023,Noite (18h-00h),0,1,-8.024287,-34.982641
80,Roubo a pedestre,Casa Forte,baixo,3,2023,Tarde (12h-18h),1,1,-7.996643,-35.012171
81,Roubo a veículo,Ibura,alto,11,2022,Noite (18h-00h),2,1,-8.050417,-34.987316
82,Furto,Madalena,baixo,3,2022,Noite (18h-00h),1,0,-7.968068,-34.860085
83,Furto,Casa Forte,baixo,9,2023,Noite (18h-00h),0,1,-7.997112,-34.957538
84,Furto,Madalena,baixo,1,2022,Noite (18h-00h),0,0,-8.128505,-34.85816
85,Arrombamento,Graças,baixo,3,2022,Tarde (12h-18h),1,0,-8.131276,-34.956367
86,Furto,Espinheiro,baixo,3,2023,Noite (18h-00h),1,0,-8.093556,-34.868413
87,Roubo a veículo,Boa Viagem,médio,12,2022,Noite (18h-00h),1,0,-7.979064,-34.907898
88,Furto,Casa Amarela,médio,12,2023,Madrugada (00h-6h),1,0,-8.091161,-34.968272
89,Furto,Jordão,alto,11,2022,Noite (18h-00h),1,1,-7.999065,-34.789762
90,Roubo a pedestre,Dois Unidos,alto,3,2022,Noite (18h-00h),0,0,-8.118334,-34.785779
91,Roubo a pedestre,Torre,médio,1,2022,Noite (18h-00h),3,0,-7.960671,-34.915707
92,Tráfico de drogas,Água Fria,alto,3,2022,Noite (18h-00h),1,1,-7.940784,-34.782055
93,Furto,Torre,médio,11,2023,Noite (18h-00h),0,0,-8.058643,-34.99645
94,Arrombamento,Ibura,alto,11,2023,Manhã (6h-12h),1,0,-8.065367,-34.792818
95,Furto,Aflitos,baixo,4,2022,Madrugada (00h-6h),0,1,-8.066884,-34.890161
96,Perturbação da ordem,Espinheiro,baixo,1,2022,Manhã (6h-12h),1,0,-8.117033,-34.835434
97,Roubo a pedestre,Ibura,alto,1,2022,Noite (18h-00h),0,0,-8.025198,-34.970404
98,Lesão corporal,Casa Amarela,médio,3,2023,Tarde (12h-18h),1,0,-7.950531,-34.938964
99,Furto,Água Fria,alto,8,2022,Manhã (6h-12h),3,1,-7.945362,-34.96876
100,Furto,Aflitos,baixo,5,2023,Tarde (12h-18h),1,0,-8.013057,-34.831064
101,Roubo a veículo,Torre,médio,1,2023,Manhã (6h-12h),1,0,-8.144059,-34.795718
102,Tráfico de drogas,Imbiribeira,médio,6,2022,Manhã (6h-12h),1,0,-8.008213,-34.789708
103,Tráfico de drogas,Recife Antigo,médio,5,2023,Manhã (6h-12h),2,0,-7.969557,-34.78927
104,Furto,Jordão,alto,8,2022,Noite (18h-00h),1,0,-8.076697,-34.942994
105,Lesão corporal,Dois Unidos,alto,1,2022,Noite (18h-00h),2,0,-7.967907,-35.018263
106,Furto,Boa Viagem,médio,7,2023,Noite (18h-00h),1,0,-7.999563,-34.831816
107,Furto,Casa Forte,baixo,1,2022,Manhã (6h-12h),3,0,-8.155666,-34.950974
108,Roubo a veículo,Boa Viagem,médio,4,2023,Madrugada (00h-6h),0,0,-7.946093,-34.822032
109,Lesão corporal,Jordão,alto,3,2022,Noite (18h-00h),1,0,-8.077728,-34.986464
110,Arrombamento,Madalena,baixo,4,2022,Madrugada (00h-6h),2,0,-8.07008,-34.812675
111,Roubo a pedestre,Dois Unidos,alto,4,2023,Noite (18h-00h),1,1,-7.93682,-34.831623
112,Furto,Dois Unidos,alto,12,2022,Manhã (6h-12h),3,0,-7.966384,-35.016456
113,Furto,Jordão,alto,4,2022,Manhã (6h-12h),0,0,-7.963527,-34.955404
114,Lesão corporal,Aflitos,baixo,6,2022,Tarde (12h-18h),1,0,-8.057401,-34.896981
115,Arrombamento,Boa Viagem,médio,6,2022,Noite (18h-00h),1,0,-8.15975,-34.968059
116,Furto,Dois Unidos,alto,9,2023,Noite (18h-00h),0,0,-8.10522,-34.887133
117,Furto,Graças,baixo,1,2022,Noite (18h-00h),0,1,-8.121579,-34.978899
118,Lesão corporal,Imbiribeira,médio,10,2023,Manhã (6h-12h),0,1,-7.985709,-34.891424
119,Roubo a veículo,Casa Forte,baixo,11,2023,Noite (18h-00h),1,1,-8.045435,-34.988822
120,Lesão corporal,Espinheiro,baixo,8,2023,Madrugada (00h-6h),1,1,-7.979703,-34.874106
121,Lesão corporal,Jordão,alto,2,2022,Manhã (6h-12h),0,1,-8.139914,-34.879464
122,Roubo a veículo,Espinheiro,baixo,1,2023,Tarde (12h-18h),1,1,-8.026388,-35.002686
123,Tráfico de drogas,Dois Unidos,alto,12,2023,Tarde (12h-18h),2,0,-8.054239,-34.883494
124,Perturbação da ordem,Torre,médio,6,2023,Noite (18h-00h),0,0,-8.116714,-34.898288
125,Tráfico de drogas,Jordão,alto,8,2022,Noite (18h-00h),1,0,-7.962801,-34.978474
126,Roubo a veículo,Recife Antigo,médio,1,2023,Tarde (12h-18h),2,0,-7.945204,-34.8392
127,Roubo a pedestre,Madalena,baixo,9,2022,Manhã (6h-12h),1,1,-8.024631,-34.891096
128,Furto,Dois Unidos,alto,1,2022,Noite (18h-00h),1,0,-8.010421,-34.793705
129,Lesão corporal,Imbiribeira,médio,9,2023,Madrugada (00h-6h),1,0,-7.963363,-34.876825
130,Roubo a pedestre,Dois Unidos,alto,2,2022,Noite (18h-00h),0,0,-8.111433,-34.951734
131,Furto,Madalena,baixo,4,2023,Noite (18h-00h),1,0,-8.009421,-34.818675
132,Lesão corporal,Recife Antigo,médio,1,2022,Tarde (12h-18h),0,0,-8.042112,-34.854571
133,Furto,Beberibe,alto,7,2023,Madrugada (00h-6h),0,0,-8.090449,-34.902829
134,Lesão corporal,Dois Unidos,alto,2,2022,Tarde (12h-18h),1,0,-7.962761,-34.829544
135,Roubo a veículo,Boa Viagem,médio,10,2023,Noite (18h-00h),1,1,-8.135982,-34.908602
136,Lesão corporal,Água Fria,alto,12,2023,Tarde (12h-18h),1,0,-8.052216,-34.857286
137,Roubo a pedestre,Ibura,alto,7,2022,Noite (18h-00h),2,0,-7.962784,-34.921515
138,Furto,Ibura,alto,2,2022,Noite (18h-00h),1,0,-8.116156,-34.928099
139,Arrombamento,Aflitos,baixo,11,2023,Noite (18h-00h),1,0,-8.05498,-34.838893
140,Roubo a veículo,Imbiribeira,médio,12,2022,Manhã (6h-12h),1,0,-8.105304,-34.990695
141,Furto,Torre,médio,6,2023,Madrugada (00h-6h),1,0,-7.930082,-35.002297
142,Roubo a pedestre,Madalena,baixo,9,2023,Noite (18h-00h),0,0,-7.976156,-35.009126
143,Furto,Beberibe,alto,5,2023,Tarde (12h-18h),0,0,-8.054948,-34.880814
144,Furto,Graças,baixo,4,2022,Noite (18h-00h),0,0,-7.982891,-34.940746
145,Roubo a veículo,Torre,médio,8,2022,Manhã (6h-12h),1,0,-7.97444,-34.959038
146,Tráfico de drogas,Recife Antigo,médio,11,2022,Manhã (6h-12h),0,0,-8.122312,-34.913774
147,Arrombamento,Aflitos,baixo,2,2023,Madrugada (00h-6h),2,1,-8.008278,-34.965575
148,Furto,Espinheiro,baixo,1,2022,Noite (18h-00h),0,0,-8.087952,-34.915599
149,Arrombamento,Aflitos,baixo,7,2023,Madrugada (00h-6h),1,0,-8.031347,-34.980613
150,Furto,Recife Antigo,médio,2,2022,Noite (18h-00h),1,0,-7.945157,-34.807061
151,Tráfico de drogas,Beberibe,alto,4,2022,Tarde (12h-18h),1,0,-8.065115,-34.994652
152,Furto,Casa Amarela,médio,8,2022,Manhã (6h-12h),0,1,-8.005136,-34.941806
153,Furto,Casa Amarela,médio,7,2022,Tarde (12h-18h),2,0,-8.05224,-34.975127
154,Tráfico de drogas,Casa Forte,baixo,10,2023,Madrugada (00h-6h),1,1,-8.140932,-35.016559
155,Furto,Madalena,baixo,4,2023,Noite (18h-00h),1,1,-8.01705,-34.822279
156,Roubo a pedestre,Graças,baixo,4,2023,Noite (18h-00h),1,1,-7.961858,-35.019792
157,Furto,Madalena,baixo,7,2023,Madrugada (00h-6h),1,1,-7.95369,-34.8805
158,Roubo a pedestre,Jordão,alto,10,2023,Noite (18h-00h),0,0,-8.066822,-34.978707
159,Roubo a veículo,Ibura,alto,12,2022,Tarde (12h-18h),3,0,-7.99956,-34.97377
160,Tráfico de drogas,Dois Unidos,alto,4,2023,Madrugada (00h-6h),0,1,-8.089222,-35.007061
161,Furto,Graças,baixo,10,2022,Madrugada (00h-6h),1,0,-8.040289,-34.787844
162,Roubo a veículo,Aflitos,baixo,4,2023,Tarde (12h-18h),1,0,-8.07342,-34.912432
163,Roubo a pedestre,Imbiribeira,médio,5,2023,Noite (18h-00h),2,0,-8.045182,-34.84453
164,Roubo a veículo,Graças,baixo,3,2023,Tarde (12h-18h),1,0,-7.961734,-34.790646
165,Roubo a veículo,Torre,médio,5,2023,Tarde (12h-18h),0,0,-8.098598,-34.949016
166,Tráfico de drogas,Imbiribeira,médio,4,2023,Madrugada (00h-6h),2,0,-8.076212,-34.783314
167,Roubo a pedestre,Madalena,baixo,1,2022,Noite (18h-00h),1,0,-8.024343,-35.011724
168,Roubo a pedestre,Ibura,alto,9,2022,Noite (18h-00h),0,0,-7.932128,-34.880428
169,Furto,Imbiribeira,médio,2,2023,Manhã (6h-12h),2,0,-8.012264,-35.018624
170,Roubo a veículo,Casa Amarela,médio,9,2022,Noite (18h-00h),1,0,-7.971476,-34.836414
171,Roubo a pedestre,Ibura,alto,5,2022,Manhã (6h-12h),1,0,-8.072679,-34.809162
172,Roubo a veículo,Recife Antigo,médio,6,2023,Tarde (12h-18h),2,0,-8.073198,-34.997348
173,Furto,Madalena,baixo,9,2022,Madrugada (00h-6h),0,1,-8.066009,-34.936405
174,Furto,Imbiribeira,médio,8,2023,Tarde (12h-18h),1,1,-8.06523,-34.879081
175,Furto,Água Fria,alto,2,2022,Noite (18h-00h),2,0,-7.954358,-34.890949
176,Furto,Jordão,alto,5,2022,Manhã (6h-12h),0,0,-8.067916,-34.821569
177,Furto,Madalena,baixo,7,2022,Noite (18h-00h),0,1,-8.067011,-34.968896
178,Tráfico de drogas,Beberibe,alto,8,2022,Madrugada (00h-6h),0,0,-8.075349,-35.012298
179,Furto,Madalena,baixo,4,2022,Noite (18h-00h),1,1,-7.960666,-34.991008
180,Tráfico de drogas,Água Fria,alto,1,2023,Madrugada (00h-6h),0,0,-8.004371,-35.018243
181,Roubo a veículo,Torre,médio,9,2022,Noite (18h-00h),0,0,-7.976792,-34.841095
182,Lesão corporal,Recife Antigo,médio,8,2023,Manhã (6h-12h),1,1,-8.163483,-34.947487
183,Tráfico de drogas,Madalena,baixo,1,2022,Madrugada (00h-6h),1,1,-8.002707,-34.817588
184,Furto,Madalena,baixo,10,2022,Madrugada (00h-6h),0,0,-8.128385,-34.930219
185,Furto,Jordão,alto,11,2023,Noite (18h-00h),2,0,-8.122531,-34.9529
186,Lesão corporal,Graças,baixo,1,2022,Noite (18h-00h),1,1,-8.163581,-34.885945
187,Furto,Recife Antigo,médio,7,2023,Tarde (12h-18h),0,0,-8.043419,-34.895685
188,Furto,Casa Forte,baixo,6,2023,Madrugada (00h-6h),0,0,-7.968725,-34.962772
189,Roubo a veículo,Imbiribeira,médio,8,2023,Manhã (6h-12h),1,1,-8.12001,-34.819777
190,Tráfico de drogas,Jordão,alto,1,2023,Manhã (6h-12h),2,1,-8.109934,-34.97445
191,Furto,Dois Unidos,alto,11,2022,Tarde (12h-18h),2,1,-8.124949,-34.936867
192,Roubo a pedestre,Casa Forte,baixo,9,2023,Noite (18h-00h),0,0,-7.9526,-34.811094
193,Furto,Espinheiro,baixo,5,2023,Noite (18h-00h),1,1,-8.108611,-34.879724
194,Furto,Casa Forte,baixo,11,2022,Noite (18h-00h),1,1,-8.074502,-34.842164
195,Roubo a pedestre,Jordão,alto,4,2023,Manhã (6h-12h),0,1,-7.974,-34.794226
196,Lesão corporal,Jordão,alto,4,2023,Tarde (12h-18h),0,1,-8.091129,-35.014537
197,Roubo a pedestre,Torre,médio,4,2023,Madrugada (00h-6h),1,0,-8.103942,-34.89153
198,Furto,Beberibe,alto,12,2022,Tarde (12h-18h),1,1,-8.015415,-34.812882
199,Furto,Recife Antigo,médio,2,2022,Noite (18h-00h),0,0,-8.054692,-34.806459
200,Furto,Imbiribeira,médio,11,2023,Madrugada (00h-6h),0,0,-8.01132,-34.95063
201,Furto,Jordão,alto,2,2022,Noite (18h-00h),2,1,-7.948165,-34.824623
202,Perturbação da ordem,Madalena,baixo,11,2023,Manhã (6h-12h),3,0,-8.076736,-34.947427
203,Perturbação da ordem,Aflitos,baixo,12,2022,Noite (18h-00h),1,0,-8.090453,-34.975367
204,Homicídio,Água Fria,alto,10,2023,Tarde (12h-18h),2,0,-8.054402,-34.944517
205,Arrombamento,Casa Forte,baixo,8,2022,Noite (18h-00h),1,0,-7.996878,-34.984363
206,Tráfico de drogas,Recife Antigo,médio,10,2023,Madrugada (00h-6h),2,0,-7.978306,-35.002562
207,Furto,Água Fria,alto,5,2022,Madrugada (00h-6h),0,0,-8.060897,-34.91247
208,Arrombamento,Madalena,baixo,5,2022,Tarde (12h-18h),0,0,-7.992148,-34.861096
209,Furto,Aflitos,baixo,3,2022,Tarde (12h-18h),1,0,-8.028674,-34.789456
210,Lesão corporal,Casa Forte,baixo,2,2022,Manhã (6h-12h),1,1,-7.931883,-34.806414
211,Furto,Aflitos,baixo,12,2022,Noite (18h-00h),1,0,-7.970894,-34.793768
212,Furto,Ibura,alto,9,2022,Madrugada (00h-6h),1,0,-8.083411,-34.854874
213,Furto,Casa Forte,baixo,7,2022,Noite (18h-00h),1,0,-8.054825,-34.948131
214,Furto,Aflitos,baixo,2,2023,Madrugada (00h-6h),2,0,-8.086652,-34.9832
215,Furto,Recife Antigo,médio,9,2022,Madrugada (00h-6h),3,1,-8.05406,-34.78358
216,Roubo a pedestre,Madalena,baixo,11,2022,Noite (18h-00h),1,0,-8.086325,-34.970863
217,Lesão corporal,Espinheiro,baixo,6,2023,Tarde (12h-18h),1,0,-8.169104,-34.790668
218,Roubo a pedestre,Jordão,alto,3,2023,Noite (18h-00h),1,0,-8.030949,-34.860284
219,Furto,Ibura,alto,1,2022,Noite (18h-00h),1,0,-7.94614,-34.875489
220,Roubo a veículo,Jordão,alto,7,2023,Tarde (12h-18h),2,0,-7.966673,-34.919927
221,Roubo a veículo,Torre,médio,11,2023,Noite (18h-00h),2,0,-7.977368,-34.842755
222,Roubo a veículo,Ibura,alto,7,2023,Manhã (6h-12h),0,0,-8.037063,-34.856241
223,Lesão corporal,Casa Amarela,médio,6,2023,Madrugada (00h-6h),3,1,-7.962413,-34.849038
224,Furto,Beberibe,alto,3,2023,Noite (18h-00h),1,0,-8.061822,-34.991895
225,Roubo a veículo,Beberibe,alto,5,2022,Noite (18h-00h),1,1,-7.949574,-34.864404
226,Roubo a veículo,Graças,baixo,8,2023,Manhã (6h-12h),1,0,-8.027724,-34.838587
227,Arrombamento,Boa Viagem,médio,6,2022,Manhã (6h-12h),1,0,-8.135178,-34.960913
228,Arrombamento,Madalena,baixo,6,2023,Tarde (12h-18h),1,0,-8.023121,-35.002285
229,Lesão corporal,Espinheiro,baixo,7,2023,Tarde (12h-18h),0,0,-8.155406,-34.944512
230,Roubo a pedestre,Ibura,alto,9,2023,Noite (18h-00h),0,0,-7.977315,-34.886538
231,Roubo a pedestre,Jordão,alto,2,2022,Noite (18h-00h),0,0,-8.057984,-34.837005
232,Perturbação da ordem,Casa Amarela,médio,5,2023,Tarde (12h-18h),2,0,-8.134964,-34.839224
233,Lesão corporal,Madalena,baixo,4,2022,Tarde (12h-18h),2,0,-8.012754,-34.85007
234,Furto,Água Fria,alto,9,2023,Noite (18h-00h),1,1,-8.110306,-34.923445
235,Homicídio,Jordão,alto,11,2022,Tarde (12h-18h),0,0,-8.072377,-34.810968
236,Lesão corporal,Recife Antigo,médio,11,2022,Noite (18h-00h),1,1,-8.132317,-34.894704
237,Furto,Dois Unidos,alto,11,2023,Noite (18h-00h),1,0,-8.10585,-34.910857
238,Tráfico de drogas,Beberibe,alto,11,2022,Noite (18h-00h),2,0,-8.065928,-34.801704
239,Tráfico de drogas,Recife Antigo,médio,11,2022,Noite (18h-00h),0,0,-8.044252,-34.797197
240,Perturbação da ordem,Casa Amarela,médio,10,2023,Manhã (6h-12h),1,1,-8.163032,-34.960322
241,Furto,Aflitos,baixo,1,2022,Noite (18h-00h),0,1,-8.062848,-34.784296
242,Furto,Jordão,alto,2,2023,Noite (18h-00h),1,0,-7.957104,-34.83415
243,Perturbação da ordem,Aflitos,baixo,7,2023,Noite (18h-00h),1,0,-8.160353,-35.007454
244,Furto,Casa Amarela,médio,7,2022,Noite (18h-00h),1,1,-8.025872,-34.971168
245,Roubo a veículo,Ibura,alto,12,2022,Madrugada (00h-6h),0,0,-8.147228,-34.882637
246,Roubo a pedestre,Recife Antigo,médio,8,2022,Noite (18h-00h),0,0,-7.972753,-34.823292
247,Lesão corporal,Jordão,alto,10,2023,Noite (18h-00h),1,1,-7.963891,-34.9342
248,Tráfico de drogas,Casa Amarela,médio,4,2023,Noite (18h-00h),0,0,-8.125436,-35.002762
249,Furto,Casa Forte,baixo,11,2022,Madrugada (00h-6h),0,0,-8.038837,-34.950057
250,Tráfico de drogas,Torre,médio,2,2022,Noite (18h-00h),2,0,-8.153561,-34.89276
251,Homicídio,Madalena,baixo,6,2022,Tarde (12h-18h),0,0,-8.085433,-34.932984
252,Lesão corporal,Graças,baixo,5,2022,Noite (18h-00h),1,0,-7.988388,-34.848898
253,Perturbação da ordem,Casa Amarela,médio,11,2022,Noite (18h-00h),1,0,-7.959629,-34.827015
254,Lesão corporal,Ibura,alto,5,2022,Madrugada (00h-6h),2,0,-8.013337,-34.954309
255,Roubo a pedestre,Jordão,alto,1,2022,Madrugada (00h-6h),1,0,-8.064627,-35.018601
256,Arrombamento,Jordão,alto,10,2022,Madrugada (00h-6h),1,0,-8.073258,-34.957255
257,Furto,Ibura,alto,1,2023,Noite (18h-00h),1,0,-8.059531,-34.907246
258,Furto,Imbiribeira,médio,11,2022,Madrugada (00h-6h),1,0,-8.154827,-34.797181
259,Roubo a veículo,Espinheiro,baixo,1,2022,Noite (18h-00h),2,0,-8.086396,-34.966813
260,Roubo a pedestre,Jordão,alto,7,2022,Noite (18h-00h),1,0,-8.140651,-34.78199
261,Roubo a pedestre,Dois Unidos,alto,9,2023,Noite (18h-00h),0,0,-7.94477,-34.836162
262,Roubo a pedestre,Beberibe,alto,8,2022,Tarde (12h-18h),0,0,-8.017565,-34.89455
263,Roubo a pedestre,Espinheiro,baixo,10,2022,Noite (18h-00h),0,0,-8.159838,-34.95662
264,Lesão corporal,Aflitos,baixo,1,2023,Noite (18h-00h),1,1,-8.069876,-34.898866
265,Furto,Graças,baixo,7,2022,Noite (18h-00h),1,0,-7.986121,-34.914152
266,Roubo a pedestre,Imbiribeira,médio,1,2023,Noite (18h-00h),0,0,-8.04115,-34.977342
267,Roubo a pedestre,Dois Unidos,alto,9,2022,Manhã (6h-12h),0,1,-8.105549,-34.888522
268,Roubo a veículo,Recife Antigo,médio,3,2023,Noite (18h-00h),2,1,-8.041159,-34.813147
269,Furto,Graças,baixo,9,2022,Noite (18h-00h),3,0,-8.027804,-34.85848
270,Tráfico de drogas,Casa Amarela,médio,12,2022,Tarde (12h-18h),1,0,-8.062498,-34.81721
271,Perturbação da ordem,Graças,baixo,5,2023,Manhã (6h-12h),1,0,-8.043614,-34.989558
272,Tráfico de drogas,Recife Antigo,médio,10,2023,Manhã (6h-12h),0,0,-8.077334,-34.803631
273,Roubo a veículo,Ibura,alto,7,2022,Madrugada (00h-6h),1,0,-7.931448,-34.8635
