id,data_ocorrencia,mes,ano,bairro,tipo_ocorrencia,quantidade_coletada_kg,tempo_atendimento_horas,resolvido,latitude,longitude
21,2023-02-08,2,2023,Pina,Acúmulo de lixo em via pública,709.27,42.8,True,-8.105957,-34.985801
22,2023-11-02,11,2023,Pina,Acúmulo de lixo em via pública,1815.57,62.0,True,-8.102399,-34.866204
23,2023-04-18,4,2023,Espinheiro,Descarte irregular em terreno baldio,1874.25,41.5,True,-7.993076,-34.838501
24,2023-04-04,4,2023,Aflitos,Descarte irregular em terreno baldio,890.55,31.1,True,-8.004185,-34.865327
25,2023-11-04,11,2023,Casa Forte,Falta de coleta no prazo,1470.02,57.8,True,-8.111682,-34.892743
26,2023-03-14,3,2023,Madalena,Lixeira danificada,952.12,63.1,True,-7.988396,-34.828807
27,2023-02-02,2,2023,Água Fria,Acúmulo de lixo em via pública,1939.54,66.8,False,-8.116738,-34.902872
28,2023-04-28,4,2023,Várzea,Acúmulo de lixo em via pública,371.04,1.2,True,-7.964696,-34.842974
29,2023-05-14,5,2023,Água Fria,Descarte irregular em terreno baldio,1450.9,12.0,True,-7.956258,-34.884164
30,2023-09-02,9,2023,Beberibe,Acúmulo de lixo em via pública,147.78,34.9,False,-8.043775,-34.988624
31,2023-09-03,9,2023,Madalena,Acúmulo de lixo em via pública,1210.32,48.9,True,-8.126023,-34.821943
32,2023-04-19,4,2023,Mustardinha,Acúmulo de lixo em via pública,1257.79,30.8,True,-8.045443,-34.813059
33,2023-04-22,4,2023,Beberibe,Ponto viciado de descarte irregular,567.95,10.3,True,-8.058555,-34.814196
34,2023-02-01,2,2023,Ibura,Entulho em área pública,1996.99,71.7,True,-8.107369,-34.94696
35,2023-06-03,6,2023,Pina,Lixeira danificada,605.73,32.1,True,-8.089497,-34.803229
36,2023-11-17,11,2023,Boa Viagem,Descarte irregular em terreno baldio,1643.35,22.3,True,-7.962214,-34.973142
37,2023-02-04,2,2023,Água Fria,Ponto viciado de descarte irregular,581.08,43.9,True,-8.109281,-34.873152
38,2023-05-17,5,2023,Jordão,Lixeira danificada,1815.41,61.1,True,-8.065285,-34.944664
39,2023-01-11,1,2023,Espinheiro,Descarte irregular em terreno baldio,1960.61,12.5,True,-8.008867,-34.887819
40,2023-02-03,2,2023,Espinheiro,Entulho em área pública,120.25,27.2,True,-8.064043,-34.991634
41,2023-06-26,6,2023,Casa Forte,Lixeira danificada,459.65,18.7,True,-7.993977,-34.823173
42,2023-07-20,7,2023,Espinheiro,Ponto viciado de descarte irregular,1735.98,70.3,False,-7.973717,-34.995043
43,2023-12-11,12,2023,Tejipió,Descarte irregular em terreno baldio,1734.92,58.6,True,-7.992525,-34.978381
44,2023-01-28,1,2023,Jordão,Ponto viciado de descarte irregular,439.17,66.2,True,-7.985893,-34.825735
45,2023-04-01,4,2023,Torre,Falta de coleta no prazo,690.11,62.4,False,-8.094175,-34.871704
46,2023-07-22,7,2023,Água Fria,Lixeira danificada,1881.51,9.2,False,-8.114286,-34.807493
47,2023-05-02,5,2023,Aflitos,Entulho em área pública,897.4,52.7,True,-8.028758,-34.897715
48,2023-07-19,7,2023,Torre,Lixeira danificada,136.55,32.0,True,-7.988698,-34.862629
49,2023-12-24,12,2023,Torre,Lixeira danificada,891.03,68.4,False,-8.025369,-34.867323
50,2023-02-24,2,2023,Encruzilhada,Entulho em área pública,653.11,30.0,True,-8.090869,-34.974542
51,2023-07-22,7,2023,Várzea,Descarte irregular em terreno baldio,1508.86,13.4,True,-8.068785,-34.833255
52,2023-05-10,5,2023,Torre,Falta de coleta no prazo,1582.23,44.1,True,-8.061643,-34.864875
53,2023-09-16,9,2023,Madalena,Descarte irregular em terreno baldio,215.35,37.6,True,-8.082962,-34.836315
54,2023-04-22,4,2023,Encruzilhada,Ponto viciado de descarte irregular,1622.8,11.5,True,-7.953213,-34.877745
55,2023-02-15,2,2023,Tejipió,Descarte irregular em terreno baldio,1172.56,52.0,True,-8.070069,-34.970486
56,2023-12-01,12,2023,Aflitos,Falta de coleta no prazo,476.74,58.1,True,-8.05709,-34.888519
57,2023-02-15,2,2023,Espinheiro,Falta de coleta no prazo,1351.78,71.1,True,-7.959992,-34.821715
58,2023-10-27,10,2023,Dois Unidos,Falta de coleta no prazo,1669.61,39.9,False,-8.001269,-34.905065
59,2023-05-25,5,2023,Pina,Descarte irregular em terreno baldio,590.76,56.2,True,-8.102151,-34.912025
60,2023-12-10,12,2023,Pina,Lixeira danificada,704.9,64.4,True,-8.119834,-34.923393
61,2023-03-23,3,2023,Torre,Acúmulo de lixo em via pública,858.99,24.5,True,-8.137547,-34.833422
62,2023-07-25,7,2023,Iputinga,Descarte irregular em terreno baldio,88.09,63.5,True,-8.054604,-34.811452
63,2023-05-25,5,2023,Várzea,Falta de coleta no prazo,1099.53,53.2,False,-7.970438,-34.902354
64,2023-05-14,5,2023,Jordão,Acúmulo de lixo em via pública,808.27,48.5,False,-8.005164,-34.831899
65,2023-03-20,3,2023,Água Fria,Acúmulo de lixo em via pública,1818.51,43.0,True,-8.133211,-34.914277
66,2023-08-06,8,2023,Casa Forte,Lixeira danificada,789.25,16.0,True,-7.997754,-34.924175
67,2023-07-09,7,2023,Graças,Falta de coleta no prazo,87.8,39.3,False,-8.080008,-34.869971
68,2023-11-02,11,2023,Boa Viagem,Ponto viciado de descarte irregular,438.75,2.4,True,-8.124756,-34.866108
69,2023-10-07,10,2023,Ibura,Descarte irregular em terreno baldio,549.68,27.2,True,-7.957253,-34.856329
70,2023-03-10,3,2023,Aflitos,Entulho em área pública,100.07,23.1,True,-7.958365,-34.920669
71,2023-12-07,12,2023,Graças,Entulho em área pública,1396.7,45.5,True,-7.995504,-34.829941
72,2023-10-26,10,2023,Aflitos,Entulho em área pública,1576.14,25.7,True,-8.075886,-34.898808
73,2023-06-01,6,2023,Tejipió,Falta de coleta no prazo,255.8,69.2,True,-7.984259,-34.858538
74,2023-07-06,7,2023,Dois Unidos,Descarte irregular em terreno baldio,576.66,58.4,True,-8.0533,-34.912885
75,2023-12-19,12,2023,Imbiribeira,Lixeira danificada,1710.84,60.0,True,-7.973674,-34.951227
76,2023-08-19,8,2023,Mustardinha,Descarte irregular em terreno baldio,789.03,3.0,False,-8.113632,-34.957576
77,2023-05-11,5,2023,Imbiribeira,Entulho em área pública,1417.31,20.6,True,-7.960387,-34.982877
78,2023-12-14,12,2023,Jordão,Entulho em área pública,1528.42,50.0,True,-8.051836,-34.841413
79,2023-02-10,2,2023,Pina,Falta de coleta no prazo,1398.98,22.7,True,-8.055348,-34.893816
80,2023-07-24,7,2023,Água Fria,Lixeira danificada,736.03,33.2,True,-8.103892,-34.855743
81,2023-06-04,6,2023,Água Fria,Descarte irregular em terreno baldio,411.04,16.4,True,-8.005083,-34.804679
82,2023-09-20,9,2023,Encruzilhada,Acúmulo de lixo em via pública,1673.63,22.0,True,-8.089546,-34.858396
83,2023-03-09,3,2023,Casa Forte,Acúmulo de lixo em via pública,1129.05,50.5,True,-7.976308,-34.901824
84,2023-01-19,1,2023,Encruzilhada,Falta de coleta no prazo,983.49,25.2,False,-8.099504,-34.827655
85,2023-02-27,2,2023,Graças,Falta de coleta no prazo,1008.91,42.0,True,-8.119655,-34.837772
86,2023-05-03,5,2023,Pina,Acúmulo de lixo em via pública,1138.24,30.5,True,-8.026316,-34.844861
87,2023-07-15,7,2023,Ibura,Lixeira danificada,1727.32,71.3,True,-8.025795,-34.878074
88,2023-12-04,12,2023,Torre,Descarte irregular em terreno baldio,461.5,47.9,True,-8.115237,-34.984987
89,2023-01-14,1,2023,Ibura,Descarte irregular em terreno baldio,1207.93,21.7,True,-8.008609,-34.859402
90,2023-08-03,8,2023,Pina,Lixeira danificada,1586.26,45.4,True,-7.963266,-34.914972
91,2023-09-08,9,2023,Espinheiro,Lixeira danificada,1661.93,6.1,True,-8.088478,-34.850208
92,2023-10-10,10,2023,Ibura,Acúmulo de lixo em via pública,963.96,22.6,True,-8.095551,-34.892004
93,2023-08-03,8,2023,Mustardinha,Acúmulo de lixo em via pública,1784.37,53.2,True,-8.144827,-34.954215
94,2023-11-27,11,2023,Iputinga,Entulho em área pública,1904.03,72.0,True,-8.096098,-34.991954
95,2023-03-16,3,2023,Dois Unidos,Descarte irregular em terreno baldio,912.35,20.7,False,-8.062823,-34.837151
96,2023-02-16,2,2023,Caxangá,Falta de coleta no prazo,699.95,48.6,False,-8.084039,-34.861265
97,2023-05-22,5,2023,Várzea,Entulho em área pública,121.56,7.3,True,-8.126816,-34.84549
98,2023-09-27,9,2023,Boa Viagem,Descarte irregular em terreno baldio,1745.27,33.8,True,-8.046312,-34.875473
99,2023-08-21,8,2023,Ibura,Acúmulo de lixo em via pública,446.94,40.0,False,-8.062377,-34.86035
100,2023-02-01,2,2023,Mustardinha,Ponto viciado de descarte irregular,1434.08,23.1,True,-8.068402,-34.95506
101,2023-02-15,2,2023,Aflitos,Descarte irregular em terreno baldio,1672.68,36.4,True,-8.048226,-34.945315
102,2023-08-16,8,2023,Pina,Falta de coleta no prazo,1124.97,28.2,False,-8.048352,-34.824135
103,2023-02-09,2,2023,Tejipió,Lixeira danificada,1871.78,37.0,False,-8.093432,-34.940289
104,2023-10-19,10,2023,Jordão,Ponto viciado de descarte irregular,920.77,35.4,True,-7.997425,-34.924558
105,2023-06-28,6,2023,Torre,Descarte irregular em terreno baldio,515.67,28.2,False,-8.067845,-34.936365
106,2023-08-23,8,2023,Várzea,Falta de coleta no prazo,1977.41,57.3,True,-8.119579,-34.807035
107,2023-03-17,3,2023,Iputinga,Lixeira danificada,1745.92,63.1,True,-8.04481,-34.908614
108,2023-12-05,12,2023,Tejipió,Descarte irregular em terreno baldio,1941.42,6.3,False,-8.096995,-34.875348
109,2023-07-21,7,2023,Graças,Lixeira danificada,1712.07,62.0,True,-8.086668,-34.856257
110,2023-08-28,8,2023,Água Fria,Acúmulo de lixo em via pública,1254.05,17.7,True,-8.092524,-34.954503
111,2023-02-14,2,2023,Aflitos,Descarte irregular em terreno baldio,1422.59,8.1,True,-8.090107,-34.994211
112,2023-06-26,6,2023,Casa Forte,Lixeira danificada,749.0,31.6,True,-8.06759,-34.86364
113,2023-03-06,3,2023,Madalena,Acúmulo de lixo em via pública,1238.51,28.2,True,-8.050467,-34.883369
114,2023-04-15,4,2023,Imbiribeira,Falta de coleta no prazo,547.89,1.7,False,-7.969758,-34.864478
115,2023-03-03,3,2023,Ibura,Lixeira danificada,1975.92,22.2,False,-8.011937,-34.908633
116,2023-05-07,5,2023,Várzea,Falta de coleta no prazo,257.97,28.1,True,-8.090826,-34.860144
117,2023-01-27,1,2023,Várzea,Lixeira danificada,65.79,62.4,False,-7.955279,-34.817877
118,2023-12-16,12,2023,Encruzilhada,Ponto viciado de descarte irregular,1233.78,26.0,True,-8.025822,-34.864447
119,2023-12-25,12,2023,Espinheiro,Descarte irregular em terreno baldio,239.47,45.5,True,-7.992278,-34.993327
120,2023-06-24,6,2023,Espinheiro,Acúmulo de lixo em via pública,1823.77,24.2,True,-8.109841,-34.842697
121,2023-06-17,6,2023,Dois Unidos,Lixeira danificada,1669.42,19.2,False,-8.05363,-34.838702
122,2023-12-28,12,2023,Beberibe,Acúmulo de lixo em via pública,963.25,6.3,False,-8.104877,-34.864735
123,2023-11-13,11,2023,Água Fria,Lixeira danificada,226.09,29.0,True,-8.125282,-34.926283
124,2023-12-22,12,2023,Imbiribeira,Entulho em área pública,793.0,46.3,True,-8.015033,-34.905705
125,2023-10-18,10,2023,Beberibe,Entulho em área pública,481.67,5.5,False,-7.968122,-34.939562
126,2023-07-04,7,2023,Espinheiro,Acúmulo de lixo em via pública,1895.21,22.6,True,-8.130562,-34.822548
127,2023-03-13,3,2023,Ibura,Lixeira danificada,1357.45,53.8,False,-8.066175,-34.851546
128,2023-03-14,3,2023,Aflitos,Falta de coleta no prazo,1250.52,67.7,True,-8.011944,-34.956546
129,2023-08-08,8,2023,Caxangá,Acúmulo de lixo em via pública,1962.81,27.1,False,-8.021035,-34.98789
130,2023-05-07,5,2023,Aflitos,Falta de coleta no prazo,228.76,16.1,True,-7.955781,-34.989884
131,2023-06-08,6,2023,Espinheiro,Entulho em área pública,450.15,59.9,True,-8.032723,-34.837389
132,2023-04-11,4,2023,Espinheiro,Entulho em área pública,55.53,61.9,True,-8.124002,-34.949869
133,2023-03-04,3,2023,Boa Viagem,Ponto viciado de descarte irregular,78.98,57.1,True,-8.085246,-34.965151
134,2023-01-05,1,2023,Tejipió,Entulho em área pública,271.62,5.5,True,-8.077592,-34.881267
135,2023-08-17,8,2023,Pina,Entulho em área pública,134.56,56.6,False,-8.04571,-34.908391
136,2023-01-02,1,2023,Jordão,Falta de coleta no prazo,881.23,8.7,True,-8.061288,-34.820147
137,2023-06-20,6,2023,Espinheiro,Acúmulo de lixo em via pública,296.07,45.3,True,-8.007569,-34.923819
138,2023-10-17,10,2023,Encruzilhada,Falta de coleta no prazo,1035.82,31.5,False,-8.127117,-34.869057
139,2023-09-24,9,2023,Torre,Falta de coleta no prazo,930.53,17.2,True,-8.0593,-34.916802
140,2023-02-11,2,2023,Tejipió,Lixeira danificada,1346.96,27.6,True,-7.965403,-34.986573
141,2023-02-03,2,2023,Tejipió,Acúmulo de lixo em via pública,1501.95,27.5,True,-8.138004,-34.808675
142,2023-09-11,9,2023,Aflitos,Falta de coleta no prazo,739.52,48.2,False,-7.976382,-34.855788
143,2023-05-20,5,2023,Encruzilhada,Lixeira danificada,252.02,37.0,True,-8.053562,-34.830545
144,2023-06-28,6,2023,Água Fria,Lixeira danificada,274.03,20.8,True,-8.064178,-34.887807
145,2023-10-20,10,2023,Água Fria,Acúmulo de lixo em via pública,1237.54,47.7,True,-8.144209,-34.945346
146,2023-05-11,5,2023,Caxangá,Acúmulo de lixo em via pública,403.74,11.2,True,-8.136083,-34.851806
147,2023-01-03,1,2023,Dois Unidos,Ponto viciado de descarte irregular,783.58,33.2,True,-8.087673,-34.935123
148,2023-10-20,10,2023,Graças,Acúmulo de lixo em via pública,353.38,54.6,True,-8.133684,-34.911377
149,2023-07-16,7,2023,Mustardinha,Falta de coleta no prazo,857.66,16.3,True,-8.080965,-34.977822
150,2023-11-22,11,2023,Iputinga,Falta de coleta no prazo,1077.52,22.9,True,-7.953111,-34.989044
151,2023-04-10,4,2023,Torre,Ponto viciado de descarte irregular,1540.11,21.6,True,-8.050523,-34.913869
152,2023-03-13,3,2023,Água Fria,Descarte irregular em terreno baldio,498.72,40.7,True,-8.079167,-34.920586
153,2023-12-02,12,2023,Tejipió,Acúmulo de lixo em via pública,946.52,6.5,True,-8.064143,-34.919115
154,2023-11-14,11,2023,Encruzilhada,Acúmulo de lixo em via pública,839.81,69.6,True,-7.960477,-34.907981
155,2023-12-12,12,2023,Graças,Falta de coleta no prazo,1696.74,18.3,True,-8.045207,-34.920847
156,2023-05-24,5,2023,Beberibe,Ponto viciado de descarte irregular,699.48,12.9,True,-8.127195,-34.89801
157,2023-06-12,6,2023,Espinheiro,Ponto viciado de descarte irregular,250.47,19.2,True,-8.119426,-34.84817
158,2023-02-06,2,2023,Jordão,Falta de coleta no prazo,1521.17,55.0,True,-7.965169,-34.887102
159,2023-11-20,11,2023,Beberibe,Descarte irregular em terreno baldio,666.47,32.2,True,-8.023723,-34.840734
160,2023-10-02,10,2023,Caxangá,Entulho em área pública,194.67,33.8,True,-8.076252,-34.942585
161,2023-11-28,11,2023,Graças,Entulho em área pública,1208.46,28.3,True,-7.959154,-34.852216
162,2023-01-15,1,2023,Iputinga,Descarte irregular em terreno baldio,417.07,44.0,True,-7.958456,-34.909895
163,2023-06-23,6,2023,Graças,Entulho em área pública,1309.95,3.8,True,-7.951803,-34.895186
164,2023-10-06,10,2023,Caxangá,Lixeira danificada,1839.98,28.5,False,-8.01422,-34.989527
165,2023-11-21,11,2023,Beberibe,Acúmulo de lixo em via pública,692.9,40.6,True,-8.099601,-34.829687
166,2023-10-28,10,2023,Espinheiro,Lixeira danificada,208.93,48.1,False,-8.087954,-34.868789
167,2023-11-13,11,2023,Espinheiro,Entulho em área pública,1432.23,7.0,True,-8.021301,-34.934305
168,2023-03-22,3,2023,Dois Unidos,Acúmulo de lixo em via pública,1309.75,31.1,True,-8.07748,-34.963947
169,2023-04-11,4,2023,Jordão,Ponto viciado de descarte irregular,491.76,10.8,True,-7.981114,-34.979772
170,2023-09-27,9,2023,Dois Unidos,Acúmulo de lixo em via pública,1340.76,63.2,True,-8.030551,-34.969149
171,2023-03-27,3,2023,Mustardinha,Ponto viciado de descarte irregular,1456.31,4.1,True,-8.006083,-34.806082
172,2023-10-10,10,2023,Ibura,Ponto viciado de descarte irregular,1091.32,23.0,False,-8.056197,-34.832977
173,2023-06-22,6,2023,Iputinga,Falta de coleta no prazo,950.28,21.0,True,-8.044508,-34.806746
174,2023-04-26,4,2023,Mustardinha,Ponto viciado de descarte irregular,1752.35,4.7,True,-8.075758,-34.813141
175,2023-12-28,12,2023,Dois Unidos,Acúmulo de lixo em via pública,605.87,55.2,True,-7.968939,-34.97053
176,2023-07-03,7,2023,Pina,Falta de coleta no prazo,1775.03,67.1,True,-8.070709,-34.925208
177,2023-07-03,7,2023,Caxangá,Ponto viciado de descarte irregular,104.97,67.1,False,-8.020008,-34.841724
178,2023-03-02,3,2023,Encruzilhada,Falta de coleta no prazo,1407.34,10.9,True,-8.06028,-34.99895
179,2023-02-01,2,2023,Imbiribeira,Ponto viciado de descarte irregular,1678.18,40.0,True,-8.044446,-34.977763
180,2023-05-08,5,2023,Encruzilhada,Acúmulo de lixo em via pública,143.11,30.8,False,-8.058577,-34.977828
181,2023-08-20,8,2023,Água Fria,Acúmulo de lixo em via pública,1282.31,41.8,True,-8.091746,-34.999687
182,2023-06-08,6,2023,Iputinga,Falta de coleta no prazo,415.26,48.4,True,-8.077879,-34.809319
183,2023-09-17,9,2023,Dois Unidos,Entulho em área pública,89.65,63.0,True,-8.072624,-34.92534
184,2023-12-01,12,2023,Caxangá,Acúmulo de lixo em via pública,722.36,53.0,True,-7.9957,-34.852963
185,2023-06-05,6,2023,Casa Forte,Lixeira danificada,1114.73,58.8,True,-7.994171,-34.907075
186,2023-12-16,12,2023,Madalena,Ponto viciado de descarte irregular,173.05,56.1,True,-8.091311,-34.991239
187,2023-04-02,4,2023,Beberibe,Lixeira danificada,1055.0,71.2,True,-8.099337,-34.849342
188,2023-04-10,4,2023,Caxangá,Acúmulo de lixo em via pública,1738.31,24.6,True,-8.076396,-34.822103
189,2023-12-15,12,2023,Várzea,Lixeira danificada,1948.76,36.2,True,-7.965138,-34.896145
190,2023-02-24,2,2023,Tejipió,Acúmulo de lixo em via pública,889.68,71.7,True,-8.091247,-34.97948
191,2023-06-22,6,2023,Encruzilhada,Lixeira danificada,919.54,52.0,True,-8.061218,-34.910574
192,2023-12-28,12,2023,Caxangá,Entulho em área pública,1996.39,20.5,False,-7.960419,-34.984992
193,2023-11-13,11,2023,Caxangá,Entulho em área pública,1612.14,49.2,False,-8.121444,-34.878485
194,2023-08-02,8,2023,Espinheiro,Acúmulo de lixo em via pública,510.19,46.8,True,-7.960107,-34.993523
195,2023-03-22,3,2023,Ibura,Lixeira danificada,775.43,55.2,True,-8.044108,-34.920393
196,2023-11-09,11,2023,Pina,Acúmulo de lixo em via pública,100.53,14.2,True,-7.967291,-34.976448
197,2023-05-23,5,2023,Ibura,Ponto viciado de descarte irregular,1992.91,21.3,False,-8.05176,-34.975473
198,2023-02-15,2,2023,Madalena,Descarte irregular em terreno baldio,917.97,7.2,True,-7.980896,-34.936082
199,2023-06-23,6,2023,Graças,Entulho em área pública,1107.23,64.3,False,-8.007638,-34.814535
200,2023-11-06,11,2023,Caxangá,Entulho em área pública,487.27,70.9,False,-8.102653,-34.901196
201,2023-06-18,6,2023,Iputinga,Lixeira danificada,961.44,70.8,True,-7.973151,-34.98685
202,2023-07-23,7,2023,Jordão,Entulho em área pública,851.05,30.1,True,-8.124935,-34.936594
203,2023-02-15,2,2023,Ibura,Descarte irregular em terreno baldio,1058.85,10.1,False,-8.039739,-34.882443
204,2023-03-14,3,2023,Dois Unidos,Acúmulo de lixo em via pública,1671.21,37.8,True,-8.117607,-34.813052
205,2023-04-12,4,2023,Dois Unidos,Lixeira danificada,1699.57,18.8,True,-8.039832,-34.974966
206,2023-05-20,5,2023,Água Fria,Acúmulo de lixo em via pública,1030.02,13.0,False,-8.119161,-34.868253
207,2023-12-20,12,2023,Beberibe,Entulho em área pública,130.33,62.3,True,-7.960291,-34.845796
208,2023-05-21,5,2023,Torre,Entulho em área pública,862.34,46.4,True,-8.024567,-34.942066
209,2023-05-16,5,2023,Pina,Descarte irregular em terreno baldio,841.88,33.2,True,-8.118384,-34.916876
210,2023-08-07,8,2023,Beberibe,Entulho em área pública,330.15,62.2,True,-7.952395,-34.930926
211,2023-07-05,7,2023,Caxangá,Entulho em área pública,1145.22,23.7,True,-8.096506,-34.950416
212,2023-02-02,2,2023,Encruzilhada,Falta de coleta no prazo,1735.12,30.7,False,-7.969538,-34.837304
213,2023-10-24,10,2023,Beberibe,Ponto viciado de descarte irregular,1538.09,36.4,True,-8.050248,-34.938292
214,2023-01-03,1,2023,Várzea,Entulho em área pública,941.6,18.1,True,-8.140268,-34.943729
215,2023-10-27,10,2023,Jordão,Lixeira danificada,1096.55,61.1,True,-7.973509,-34.854498
216,2023-07-12,7,2023,Casa Forte,Falta de coleta no prazo,149.76,40.9,True,-8.09228,-34.92273
217,2023-08-25,8,2023,Água Fria,Lixeira danificada,1659.36,45.3,True,-8.124267,-34.980664
218,2023-06-26,6,2023,Beberibe,Entulho em área pública,1880.95,54.6,True,-8.048175,-34.899984
219,2023-01-02,1,2023,Espinheiro,Descarte irregular em terreno baldio,699.43,34.6,True,-8.028748,-34.896899
220,2023-06-20,6,2023,Beberibe,Ponto viciado de descarte irregular,816.26,44.8,False,-8.031255,-34.898537
221,2023-09-18,9,2023,Jordão,Descarte irregular em terreno baldio,1147.7,34.7,True,-8.083752,-34.978079
222,2023-07-19,7,2023,Encruzilhada,Descarte irregular em terreno baldio,1750.59,45.7,True,-8.096894,-34.868882
223,2023-10-19,10,2023,Pina,Descarte irregular em terreno baldio,150.14,35.1,True,-8.005763,-34.845079
224,2023-07-05,7,2023,Pina,Acúmulo de lixo em via pública,1166.51,50.7,True,-8.061792,-34.916244
225,2023-07-23,7,2023,Torre,Falta de coleta no prazo,1028.55,44.4,True,-7.980325,-34.85452
226,2023-12-05,12,2023,Dois Unidos,Ponto viciado de descarte irregular,1143.73,71.9,True,-8.074635,-34.808663
227,2023-08-18,8,2023,Beberibe,Entulho em área pública,740.86,55.8,True,-8.021338,-34.861337
228,2023-10-16,10,2023,Torre,Ponto viciado de descarte irregular,594.06,22.2,False,-7.953548,-34.845765
229,2023-12-07,12,2023,Jordão,Lixeira danificada,985.62,40.8,False,-8.005667,-34.942442
230,2023-10-22,10,2023,Água Fria,Falta de coleta no prazo,1796.73,29.0,True,-7.995387,-34.970705
231,2023-01-10,1,2023,Graças,Lixeira danificada,1851.82,47.6,True,-8.107203,-34.83441
232,2023-05-18,5,2023,Imbiribeira,Ponto viciado de descarte irregular,262.99,53.6,True,-8.139847,-34.818963
233,2023-04-21,4,2023,Pina,Acúmulo de lixo em via pública,245.39,24.5,True,-8.013762,-34.972507
234,2023-09-06,9,2023,Tejipió,Descarte irregular em terreno baldio,1873.31,63.4,True,-8.110109,-34.807217
235,2023-06-10,6,2023,Casa Forte,Acúmulo de lixo em via pública,1321.98,17.5,True,-7.979933,-34.99254
236,2023-03-14,3,2023,Madalena,Acúmulo de lixo em via pública,1994.49,29.2,True,-7.962678,-34.807574
237,2023-05-02,5,2023,Boa Viagem,Lixeira danificada,1157.53,8.6,False,-8.093088,-34.80218
238,2023-09-17,9,2023,Jordão,Ponto viciado de descarte irregular,1709.57,34.2,True,-8.127471,-34.967501
239,2023-08-21,8,2023,Imbiribeira,Descarte irregular em terreno baldio,413.09,53.3,False,-8.036444,-34.848543
240,2023-03-20,3,2023,Várzea,Falta de coleta no prazo,1054.8,7.2,True,-8.113044,-34.971878
241,2023-06-08,6,2023,Boa Viagem,Lixeira danificada,797.97,32.7,True,-8.084075,-34.883508
242,2023-10-01,10,2023,Imbiribeira,Descarte irregular em terreno baldio,751.13,17.8,True,-8.056921,-34.968057
243,2023-11-17,11,2023,Encruzilhada,Descarte irregular em terreno baldio,278.96,66.0,True,-8.027075,-34.956174
244,2023-03-16,3,2023,Espinheiro,Falta de coleta no prazo,1508.08,44.0,True,-8.040153,-34.905834
245,2023-09-26,9,2023,Torre,Ponto viciado de descarte irregular,1376.67,43.3,False,-8.044899,-34.894365
246,2023-06-03,6,2023,Iputinga,Acúmulo de lixo em via pública,170.43,39.9,True,-8.03546,-34.97003
247,2023-06-28,6,2023,Dois Unidos,Falta de coleta no prazo,276.67,15.6,True,-8.131812,-34.897925
248,2023-01-15,1,2023,Espinheiro,Entulho em área pública,860.08,41.0,True,-8.015446,-34.938366
249,2023-01-13,1,2023,Imbiribeira,Acúmulo de lixo em via pública,1504.32,42.1,True,-8.081094,-34.987248
250,2023-01-03,1,2023,Jordão,Acúmulo de lixo em via pública,609.83,13.8,True,-8.021695,-34.854142
251,2023-07-12,7,2023,Várzea,Falta de coleta no prazo,1745.76,65.4,True,-8.013454,-34.867641
