id,tipo_obra,bairro,secretaria,status,data_inicio,prazo_previsto,valor_contrato_r$,percentual_executado,empresa_contratada,numero_licenca,area_construcao_m2,atraso
82,Drenagem pluvial,Afogados,EMLURB,Licitação,2021-07-27,2023-04-18,4862593.55,9.9,Construtora B Ltda,LIC-2022-10081,845.1,1122
83,Calçamento,Afogados,CTTU,Em andamento,2021-11-04,2023-05-16,2779929.53,3.1,Construtora C Ltda,LIC-2023-10082,4607.6,1094
84,Praça pública,Encruzilhada,SEINFRA,Concluída,2021-11-23,2022-12-29,3151040.04,90.6,Construtora D Ltda,LIC-2024-10083,587.3,0
85,Esgotamento sanitário,Boa Viagem,SEINFRA,Concluída,2021-05-17,2023-04-03,1971005.64,84.5,Construtora E Ltda,LIC-2021-10084,2733.6,0
86,Construção de escola,Boa Viagem,Secretaria de Saúde,Concluída,2021-08-09,2022-09-26,2402755.89,84.7,Construtora F Ltda,LIC-2022-10085,3552.8,0
87,Praça pública,Derby,Secretaria de Educação,Concluída,2021-05-02,2021-08-22,2516635.71,93.5,Construtora G Ltda,LIC-2023-10086,1216.4,0
88,Praça pública,Imbiribeira,Secretaria de Saúde,Licitação,2021-07-12,2022-05-30,218782.25,13.5,Construtora H Ltda,LIC-2024-10087,1070.6,1445
89,Reforma de UBS,Casa Forte,EMLURB,Em andamento,2021-05-24,2023-01-20,1065832.01,76.6,Construtora I Ltda,LIC-2021-10088,1231.0,1210
90,Calçamento,Apipucos,EMLURB,Em andamento,2021-04-09,2022-05-06,4762038.08,39.2,Construtora J Ltda,LIC-2022-10089,2476.8,1469
91,Pavimentação,Boa Vista,EMLURB,Concluída,2021-11-02,2023-10-02,4613521.54,81.1,Construtora K Ltda,LIC-2023-10090,2135.4,0
92,Ciclovia,Encruzilhada,SEINFRA,Licitação,2021-12-02,2022-09-06,2275727.72,28.5,Construtora L Ltda,LIC-2024-10091,4987.9,1346
93,Iluminação pública,Boa Viagem,Secretaria de Educação,Concluída,2021-03-11,2021-12-21,3279717.83,90.5,Construtora M Ltda,LIC-2021-10092,3355.7,0
94,Drenagem pluvial,Pina,SEINFRA,Paralisada,2021-07-27,2022-11-11,2240053.98,4.4,Construtora N Ltda,LIC-2022-10093,1822.2,1280
95,Praça pública,Derby,SEINFRA,Licitação,2021-02-18,2021-12-17,1815314.64,32.9,Construtora O Ltda,LIC-2023-10094,3555.8,1609
96,Iluminação pública,Boa Viagem,Secretaria de Saúde,Licitação,2021-04-12,2023-01-16,1005479.63,14.6,Construtora P Ltda,LIC-2024-10095,1315.3,1214
97,Pavimentação,Pina,EMLURB,Em andamento,2021-11-25,2023-04-13,1909059.92,36.7,Construtora Q Ltda,LIC-2021-10096,3761.7,1127
98,Pavimentação,Pina,Secretaria de Educação,Paralisada,2021-10-11,2023-01-15,1708106.02,38.2,Construtora R Ltda,LIC-2022-10097,4628.7,1215
99,Iluminação pública,Encruzilhada,Secretaria de Saúde,Em andamento,2021-05-01,2023-03-31,170070.69,18.5,Construtora S Ltda,LIC-2023-10098,4774.2,1140
100,Iluminação pública,Santo Amaro,SEINFRA,Licitação,2021-07-26,2022-07-08,4083261.24,5.3,Construtora T Ltda,LIC-2024-10099,4032.6,1406
101,Ciclovia,Casa Forte,CTTU,Concluída,2021-12-10,2022-08-11,1672609.06,86.4,Construtora A Ltda,LIC-2021-10100,487.2,0
102,Iluminação pública,Recife Antigo,CTTU,Concluída,2021-04-13,2021-12-22,2068396.0,93.0,Construtora B Ltda,LIC-2022-10101,1696.2,0
103,Praça pública,Madalena,Secretaria de Saúde,Paralisada,2021-07-04,2021-12-14,3141777.79,8.3,Construtora C Ltda,LIC-2023-10102,948.6,1612
104,Drenagem pluvial,Casa Forte,Secretaria de Educação,Concluída,2021-03-14,2022-09-26,3752486.37,96.9,Construtora D Ltda,LIC-2024-10103,1539.5,0
105,Construção de escola,Santo Amaro,EMLURB,Paralisada,2021-10-09,2023-01-23,3703433.77,8.0,Construtora E Ltda,LIC-2021-10104,1254.0,1207
106,Construção de escola,Recife Antigo,CTTU,Paralisada,2021-05-19,2022-02-25,370780.27,10.1,Construtora F Ltda,LIC-2022-10105,1233.8,1539
107,Construção de escola,Monteiro,Secretaria de Saúde,Em andamento,2021-02-21,2022-09-09,556545.48,37.5,Construtora G Ltda,LIC-2023-10106,4580.4,1343
108,Esgotamento sanitário,Afogados,SEINFRA,Em andamento,2021-01-10,2021-12-04,299436.25,47.4,Construtora H Ltda,LIC-2024-10107,1924.0,1622
109,Pavimentação,Derby,CTTU,Paralisada,2021-03-15,2023-02-20,3886241.13,26.6,Construtora I Ltda,LIC-2021-10108,3577.6,1179
110,Reforma de UBS,Boa Viagem,CTTU,Paralisada,2021-06-07,2021-10-13,1733081.97,1.8,Construtora J Ltda,LIC-2022-10109,3687.9,1674
111,Esgotamento sanitário,Pina,SEINFRA,Paralisada,2021-04-27,2021-08-06,2074524.73,14.9,Construtora K Ltda,LIC-2023-10110,1096.7,1742
112,Ponte/viaduto,Santo Amaro,CTTU,Em andamento,2021-08-18,2023-03-26,2070441.72,62.9,Construtora L Ltda,LIC-2024-10111,546.6,1145
113,Praça pública,Boa Viagem,Secretaria de Educação,Licitação,2021-03-13,2022-03-15,4941781.76,26.7,Construtora M Ltda,LIC-2021-10112,3752.2,1521
114,Ciclovia,Cordeiro,EMLURB,Em andamento,2021-06-14,2022-11-12,4328019.55,78.7,Construtora N Ltda,LIC-2022-10113,2014.6,1279
115,Drenagem pluvial,Torre,CTTU,Licitação,2021-07-07,2021-10-11,4513071.38,17.0,Construtora O Ltda,LIC-2023-10114,4425.9,1676
116,Praça pública,Derby,CTTU,Concluída,2021-08-25,2022-05-08,123430.15,91.0,Construtora P Ltda,LIC-2024-10115,3148.8,0
117,Ponte/viaduto,Santo Amaro,SEINFRA,Concluída,2021-06-24,2023-02-20,772139.79,85.7,Construtora Q Ltda,LIC-2021-10116,633.1,0
118,Iluminação pública,Imbiribeira,SEINFRA,Paralisada,2021-08-25,2022-06-13,676919.25,37.7,Construtora R Ltda,LIC-2022-10117,3077.5,1431
119,Esgotamento sanitário,Torre,CTTU,Concluída,2021-11-13,2022-05-10,3219605.91,97.1,Construtora S Ltda,LIC-2023-10118,4247.1,0
120,Calçamento,Torre,Secretaria de Educação,Concluída,2021-08-06,2023-06-05,256477.26,98.8,Construtora T Ltda,LIC-2024-10119,703.0,0
121,Pavimentação,Cordeiro,Secretaria de Educação,Em andamento,2021-04-24,2022-02-05,4425119.45,66.6,Construtora A Ltda,LIC-2021-10120,676.9,1559
122,Construção de escola,Torre,Secretaria de Saúde,Paralisada,2021-10-15,2023-07-30,3262687.89,12.3,Construtora B Ltda,LIC-2022-10121,3328.3,1019
123,Iluminação pública,Madalena,EMLURB,Concluída,2021-08-17,2023-02-06,165707.64,92.4,Construtora C Ltda,LIC-2023-10122,2289.4,0
124,Drenagem pluvial,Santo Amaro,Secretaria de Educação,Concluída,2021-10-25,2023-05-07,4062120.31,88.0,Construtora D Ltda,LIC-2024-10123,2209.9,0
125,Ciclovia,Casa Forte,CTTU,Em andamento,2021-02-26,2022-08-22,251225.58,10.3,Construtora E Ltda,LIC-2021-10124,491.8,1361
126,Drenagem pluvial,Afogados,EMLURB,Em andamento,2021-09-13,2022-04-30,4292497.05,78.7,Construtora F Ltda,LIC-2022-10125,4910.5,1475
127,Reforma de UBS,Santo Amaro,Secretaria de Educação,Concluída,2021-08-10,2022-04-26,374305.24,87.0,Construtora G Ltda,LIC-2023-10126,4493.0,0
128,Iluminação pública,Afogados,CTTU,Concluída,2021-05-27,2022-12-05,1308098.92,99.3,Construtora H Ltda,LIC-2024-10127,1388.1,0
129,Calçamento,Cordeiro,Secretaria de Educação,Paralisada,2021-09-08,2022-10-29,232323.63,7.3,Construtora I Ltda,LIC-2021-10128,3430.4,1293
130,Ciclovia,Monteiro,Secretaria de Saúde,Em andamento,2021-07-06,2022-07-01,3852915.35,3.8,Construtora J Ltda,LIC-2022-10129,2820.4,1413
131,Praça pública,Encruzilhada,Secretaria de Educação,Paralisada,2021-10-23,2022-05-08,4965125.31,25.2,Construtora K Ltda,LIC-2023-10130,1397.3,1467
132,Construção de escola,Santo Amaro,CTTU,Paralisada,2021-06-19,2022-02-13,1687602.81,3.3,Construtora L Ltda,LIC-2024-10131,3743.6,1551
133,Esgotamento sanitário,Apipucos,Secretaria de Educação,Paralisada,2021-01-10,2022-09-20,1584858.59,38.6,Construtora M Ltda,LIC-2021-10132,3691.9,1332
134,Praça pública,Recife Antigo,Secretaria de Educação,Concluída,2021-12-02,2022-10-14,1490309.51,92.5,Construtora N Ltda,LIC-2022-10133,4488.2,0
135,Ciclovia,Pina,SEINFRA,Em andamento,2021-03-16,2022-02-01,160333.14,0.2,Construtora O Ltda,LIC-2023-10134,2663.1,1563
136,Esgotamento sanitário,Monteiro,Secretaria de Saúde,Paralisada,2021-09-08,2023-02-03,2966003.46,8.2,Construtora P Ltda,LIC-2024-10135,877.3,1196
137,Calçamento,Monteiro,Secretaria de Educação,Concluída,2021-01-26,2021-12-31,2281722.86,81.3,Construtora Q Ltda,LIC-2021-10136,2069.6,0
138,Esgotamento sanitário,Apipucos,CTTU,Paralisada,2021-05-01,2021-09-25,2993885.11,23.1,Construtora R Ltda,LIC-2022-10137,3694.3,1692
139,Calçamento,Afogados,EMLURB,Em andamento,2021-04-06,2021-07-05,354566.15,2.0,Construtora S Ltda,LIC-2023-10138,386.1,1774
140,Esgotamento sanitário,Cordeiro,CTTU,Concluída,2021-02-01,2023-01-19,754219.4,84.0,Construtora T Ltda,LIC-2024-10139,3273.2,0
141,Pavimentação,Apipucos,Secretaria de Saúde,Concluída,2021-07-27,2023-07-14,2567451.28,81.3,Construtora A Ltda,LIC-2021-10140,3605.5,0
142,Calçamento,Afogados,SEINFRA,Licitação,2021-01-13,2022-07-04,448368.84,26.2,Construtora B Ltda,LIC-2022-10141,1381.0,1410
143,Reforma de UBS,Encruzilhada,SEINFRA,Paralisada,2021-11-02,2022-06-06,4461805.95,37.0,Construtora C Ltda,LIC-2023-10142,1403.3,1438
144,Construção de escola,Derby,CTTU,Paralisada,2021-09-22,2023-03-12,1513304.1,37.1,Construtora D Ltda,LIC-2024-10143,174.6,1159
145,Praça pública,Imbiribeira,CTTU,Concluída,2021-05-08,2022-03-01,3743449.18,86.5,Construtora E Ltda,LIC-2021-10144,1271.9,0
146,Pavimentação,Monteiro,SEINFRA,Licitação,2021-11-23,2023-08-24,2387095.57,21.2,Construtora F Ltda,LIC-2022-10145,2242.3,994
147,Esgotamento sanitário,Derby,CTTU,Paralisada,2021-12-08,2023-10-13,3956551.85,15.7,Construtora G Ltda,LIC-2023-10146,4562.9,944
148,Ciclovia,Santo Amaro,SEINFRA,Em andamento,2021-03-02,2021-06-27,578057.97,73.4,Construtora H Ltda,LIC-2024-10147,251.3,1782
149,Esgotamento sanitário,Casa Forte,Secretaria de Educação,Em andamento,2021-03-23,2021-08-03,3697087.05,5.2,Construtora I Ltda,LIC-2021-10148,1076.6,1745
150,Drenagem pluvial,Boa Viagem,SEINFRA,Licitação,2021-09-22,2022-02-26,580223.65,8.2,Construtora J Ltda,LIC-2022-10149,4751.3,1538
151,Construção de escola,Pina,Secretaria de Educação,Licitação,2021-11-03,2022-11-22,544391.6,3.9,Construtora K Ltda,LIC-2023-10150,1748.9,1269
152,Ciclovia,Apipucos,Secretaria de Educação,Paralisada,2021-05-01,2022-07-24,4653982.37,1.9,Construtora L Ltda,LIC-2024-10151,3869.3,1390
153,Praça pública,Boa Viagem,Secretaria de Saúde,Paralisada,2021-10-17,2023-05-17,3110465.49,1.2,Construtora M Ltda,LIC-2021-10152,2641.2,1093
154,Drenagem pluvial,Boa Vista,Secretaria de Educação,Em andamento,2021-02-12,2022-09-05,2712508.69,17.1,Construtora N Ltda,LIC-2022-10153,934.8,1347
155,Pavimentação,Imbiribeira,Secretaria de Saúde,Paralisada,2021-01-17,2021-11-09,3822796.05,39.1,Construtora O Ltda,LIC-2023-10154,568.9,1647
156,Ponte/viaduto,Pina,CTTU,Licitação,2021-12-26,2022-09-30,2983146.46,38.3,Construtora P Ltda,LIC-2024-10155,4725.0,1322
157,Drenagem pluvial,Madalena,CTTU,Concluída,2021-05-27,2022-04-01,2516662.24,82.2,Construtora Q Ltda,LIC-2021-10156,3956.0,0
158,Drenagem pluvial,Torre,SEINFRA,Em andamento,2021-11-11,2023-02-08,2036289.31,31.2,Construtora R Ltda,LIC-2022-10157,1922.6,1191
159,Construção de escola,Madalena,EMLURB,Concluída,2021-05-09,2022-10-19,1927560.48,97.7,Construtora S Ltda,LIC-2023-10158,2704.6,0
160,Calçamento,Monteiro,Secretaria de Saúde,Em andamento,2021-12-25,2023-12-04,1775002.95,25.8,Construtora T Ltda,LIC-2024-10159,3344.3,892
161,Esgotamento sanitário,Afogados,EMLURB,Licitação,2021-12-11,2022-08-31,2222050.25,30.9,Construtora A Ltda,LIC-2021-10160,1736.9,1352
162,Esgotamento sanitário,Santo Amaro,EMLURB,Concluída,2021-11-23,2022-10-22,1374039.77,95.1,Construtora B Ltda,LIC-2022-10161,4876.4,0
163,Construção de escola,Pina,SEINFRA,Paralisada,2021-12-11,2023-11-18,846575.55,13.1,Construtora C Ltda,LIC-2023-10162,906.5,908
164,Reforma de UBS,Encruzilhada,Secretaria de Educação,Licitação,2021-11-04,2022-08-21,797252.47,5.9,Construtora D Ltda,LIC-2024-10163,2231.1,1362
165,Pavimentação,Boa Viagem,Secretaria de Saúde,Paralisada,2021-04-04,2021-10-20,1071897.62,15.5,Construtora E Ltda,LIC-2021-10164,4286.2,1667
166,Esgotamento sanitário,Encruzilhada,Secretaria de Saúde,Paralisada,2021-07-23,2022-06-05,2343232.27,5.7,Construtora F Ltda,LIC-2022-10165,127.0,1439
167,Esgotamento sanitário,Monteiro,EMLURB,Licitação,2021-04-28,2022-10-10,4237668.07,26.7,Construtora G Ltda,LIC-2023-10166,3430.0,1312
168,Drenagem pluvial,Apipucos,Secretaria de Saúde,Licitação,2021-11-04,2023-05-12,1599420.68,25.1,Construtora H Ltda,LIC-2024-10167,1287.7,1098
169,Pavimentação,Boa Vista,Secretaria de Saúde,Paralisada,2021-07-23,2022-03-30,4254735.21,19.3,Construtora I Ltda,LIC-2021-10168,2639.4,1506
170,Iluminação pública,Apipucos,SEINFRA,Paralisada,2021-11-28,2022-09-01,3901988.14,15.5,Construtora J Ltda,LIC-2022-10169,286.9,1351
